municipality_id,name,normalized_name,region,county_fips,aliases,confidence,evidence_id,review_status,notes
muni_pr_adjuntas,Adjuntas,ADJUNTAS,central,72001,ADJUNTAS|MUNICIPIO DE ADJUNTAS|Adjuntas,0.95,evidence_data_reference_pr_municipalities_csv_row_2_3906e138a4,accepted,
muni_pr_aguada,Aguada,AGUADA,west,72003,AGUADA|MUNICIPIO DE AGUADA|Aguada,0.95,evidence_data_reference_pr_municipalities_csv_row_3_b7c344723d,accepted,
muni_pr_aguadilla,Aguadilla,AGUADILLA,west,72005,AGUADILLA|MUNICIPIO DE AGUADILLA|Aguadilla,0.95,evidence_data_reference_pr_municipalities_csv_row_4_afd27ba957,accepted,
muni_pr_aguas_buenas,Aguas Buenas,AGUAS BUENAS,central,72007,AGUAS BUENAS|MUNICIPIO DE AGUAS BUENAS|Aguas Buenas,0.95,evidence_data_reference_pr_municipalities_csv_row_5_3e65fb4d65,accepted,
muni_pr_aibonito,Aibonito,AIBONITO,central,72009,AIBONITO|MUNICIPIO DE AIBONITO|Aibonito,0.95,evidence_data_reference_pr_municipalities_csv_row_6_d49f001501,accepted,
muni_pr_anasco,Anasco,ANASCO,west,72011,ANASCO|ANYASCO|MUNICIPIO DE ANASCO|Añasco,0.95,evidence_data_reference_pr_municipalities_csv_row_7_28716bb781,accepted,
muni_pr_arecibo,Arecibo,ARECIBO,north,72013,ARECIBO|MUNICIPIO DE ARECIBO|Arecibo,0.95,evidence_data_reference_pr_municipalities_csv_row_8_d0bd89a103,accepted,
muni_pr_arroyo,Arroyo,ARROYO,south,72015,ARROYO|MUNICIPIO DE ARROYO|Arroyo,0.95,evidence_data_reference_pr_municipalities_csv_row_9_8b7688fcfa,accepted,
muni_pr_barceloneta,Barceloneta,BARCELONETA,north,72017,BARCELONETA|MUNICIPIO DE BARCELONETA|Barceloneta,0.95,evidence_data_reference_pr_municipalities_csv_row_10_5c3c5c3e00,accepted,
muni_pr_barranquitas,Barranquitas,BARRANQUITAS,central,72019,BARRANQUITAS|MUNICIPIO DE BARRANQUITAS|Barranquitas,0.95,evidence_data_reference_pr_municipalities_csv_row_11_ae7409cda5,accepted,
muni_pr_bayamon,Bayamon,BAYAMON,metro,72021,BAYAMON|MUNICIPIO DE BAYAMON|Bayamón,0.95,evidence_data_reference_pr_municipalities_csv_row_12_189ac44633,accepted,
muni_pr_cabo_rojo,Cabo Rojo,CABO ROJO,west,72023,CABO ROJO|MUNICIPIO DE CABO ROJO|Cabo Rojo,0.95,evidence_data_reference_pr_municipalities_csv_row_13_470cc7683c,accepted,
muni_pr_caguas,Caguas,CAGUAS,central,72025,CAGUAS|MUNICIPIO DE CAGUAS|Caguas,0.95,evidence_data_reference_pr_municipalities_csv_row_14_eb5d6616c2,accepted,
muni_pr_camuy,Camuy,CAMUY,north,72027,CAMUY|MUNICIPIO DE CAMUY|Camuy,0.95,evidence_data_reference_pr_municipalities_csv_row_15_bb3ce262c3,accepted,
muni_pr_canovanas,Canovanas,CANOVANAS,metro,72029,CANOVANAS|MUNICIPIO DE CANOVANAS|Canóvanas,0.95,evidence_data_reference_pr_municipalities_csv_row_16_b34659d1d7,accepted,
muni_pr_carolina,Carolina,CAROLINA,metro,72031,CAROLINA|MUNICIPIO DE CAROLINA|Carolina,0.95,evidence_data_reference_pr_municipalities_csv_row_17_c485fd7bde,accepted,
muni_pr_catano,Catano,CATANO,metro,72033,CATANO|MUNICIPIO DE CATANO|Cataño,0.95,evidence_data_reference_pr_municipalities_csv_row_18_fa30d2ce21,accepted,
muni_pr_cayey,Cayey,CAYEY,central,72035,CAYEY|MUNICIPIO DE CAYEY|Cayey,0.95,evidence_data_reference_pr_municipalities_csv_row_19_a5756c811d,accepted,
muni_pr_ceiba,Ceiba,CEIBA,east,72037,CEIBA|MUNICIPIO DE CEIBA|Ceiba,0.95,evidence_data_reference_pr_municipalities_csv_row_20_9987feaf7d,accepted,
muni_pr_ciales,Ciales,CIALES,central,72039,CIALES|MUNICIPIO DE CIALES|Ciales,0.95,evidence_data_reference_pr_municipalities_csv_row_21_24b7f61973,accepted,
muni_pr_cidra,Cidra,CIDRA,central,72041,CIDRA|MUNICIPIO DE CIDRA|Cidra,0.95,evidence_data_reference_pr_municipalities_csv_row_22_3188deda00,accepted,
muni_pr_coamo,Coamo,COAMO,south,72043,COAMO|MUNICIPIO DE COAMO|Coamo,0.95,evidence_data_reference_pr_municipalities_csv_row_23_f766d76aba,accepted,
