source_id,family,required,path_type,wired_status,acquisition_status,materialization_status,coverage_status,reconciliation_status,freshness_status,certification_status,materiality_label,has_contract,local_rows,min_rows,fixture_signal,dropzone_path,coverage_reasons
aafaf,territorial,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
act_toll_revenue,infrastructure_revenue,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/manual/act_toll_revenue/,no coverage contract declared
act_tolls_concession,infrastructure,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/ACT_Tolls/,no coverage contract declared
act_transition_contracts,manual_export,False,manual_export,manual_dropzone,acquired_ingested,fully_materialized,meets_contract,not_evaluated,unknown,provisional,validated_complete,True,656,1,False,data/raw/act_transition/,
act_transition_ppp,infrastructure,False,api_producer,wired_producer,automated,fully_materialized,uncontracted,not_applicable,unknown,provisional,seed,False,25,1,False,,no coverage contract declared
acuden_2024_transition,manual_export,False,manual_export,manual_dropzone,acquired_ingested,fully_materialized,meets_contract,not_evaluated,unknown,provisional,validated_complete,True,1147,1,False,data/raw/act_transition/,
ases_plan_vital,territorial,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/ASES/,no coverage contract declared
asg_emergency_purchases,territorial,False,api_producer,wired_producer,automated,not_materialized,below_contract,not_applicable,unknown,uncertified,empty,True,0,1,False,,coverage 0.0% of 1406 < floor 95.0%
asg_suppliers,entity_resolution,False,api_producer,wired_producer,automated,not_materialized,below_contract,not_applicable,unknown,uncertified,empty,True,0,1,False,,coverage 0.0% of 4665 < floor 95.0%
bde_loans,territorial,False,manual_export,manual_dropzone,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,data/raw/BDE/,no coverage contract declared
campaign_finance_entities,political_finance,True,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
campaign_finance_materialization_gate,political_finance,True,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
census_gov_finances,territorial,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,0,False,,no coverage contract declared
centinelas_pre_official_signals,pre_officialization,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,0,False,,no coverage contract declared
chip,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
cms_open_payments,federal,False,api_adapter,wired_adapter,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
cofina,territorial,False,api_producer,wired_producer,automated,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
compras_pr,territorial,False,api_producer,wired_producer,automated,not_materialized,unverifiable,not_applicable,unknown,uncertified,empty,True,0,1,False,,authoritative_universe_total not yet measured (method: api_metadata)
congressional_earmarks,federal,False,semantic_duplicate,semantic_duplicate,not_acquired,not_materialized,uncontracted,not_applicable,unknown,uncertified,empty,False,0,1,False,,no coverage contract declared
