debt_id,issuer_entity_id,debt_class,series,issue_year,par_amount,currency,maturity_date,status,confidence,evidence_id,review_status,notes
debt_puerto_rico_sales_tax_financing_corp_cofina_2019_74526qbb2,entity_5204a3d8f84bbfcd,COFINA,2019A,2019,12114600000,USD,2058-07-01,,0.85,evidence_emma_pr_municipal_bonds_known_seed_cusip_74526qbb2_da77824388,accepted,cusip=74526QBB2; issuer=Puerto Rico Sales Tax Financing Corp
debt_puerto_rico_sales_tax_financing_corp_cofina_2019_74526qbc0,entity_5204a3d8f84bbfcd,COFINA,2019B,2019,4199400000,USD,2040-07-01,,0.85,evidence_emma_pr_municipal_bonds_known_seed_cusip_74526qbc0_23ee5c9171,accepted,cusip=74526QBC0; issuer=Puerto Rico Sales Tax Financing Corp
debt_commonwealth_of_puerto_rico_go_2022_745145tn0,entity_125b538f289a4708,GO,2022A,2022,7000000000,USD,2051-07-01,,0.85,evidence_emma_pr_municipal_bonds_known_seed_cusip_745145tn0_e626e8be14,accepted,cusip=745145TN0; issuer=Commonwealth of Puerto Rico
debt_commonwealth_of_puerto_rico_go_2014_745145sw1,entity_125b538f289a4708,GO,2014A,2014,3500000000,USD,2035-07-01,,0.85,evidence_emma_pr_municipal_bonds_known_seed_cusip_745145sw1_15b49486bc,accepted,cusip=745145SW1; issuer=Commonwealth of Puerto Rico
debt_commonwealth_of_puerto_rico_go_2012_745145sk7,entity_125b538f289a4708,GO,2012A,2012,1300000000,USD,2042-07-01,,0.85,evidence_emma_pr_municipal_bonds_known_seed_cusip_745145sk7_e2e3520fdb,accepted,cusip=745145SK7; issuer=Commonwealth of Puerto Rico
debt_puerto_rico_highways_and_transportation_authority_hta_2022_745190ab2,entity_b182f85acf46f69b,HTA,2022A,2022,3420400000,USD,2046-07-01,,0.85,evidence_emma_pr_municipal_bonds_known_seed_cusip_745190ab2_339863115c,accepted,cusip=745190AB2; issuer=Puerto Rico Highways and Transportation Authority
debt_puerto_rico_highways_and_transportation_authority_hta_2003_74514lkt4,entity_b182f85acf46f69b,HTA,2003A,2003,688000000,USD,2042-07-01,,0.85,evidence_emma_pr_municipal_bonds_known_seed_cusip_74514lkt4_7a2311be21,accepted,cusip=74514LKT4; issuer=Puerto Rico Highways and Transportation Authority
debt_puerto_rico_electric_power_authority_prepa_2013_74529jbq4,entity_6c1d858c1babe390,PREPA,2013A,2013,673000000,USD,2043-07-01,,0.85,evidence_emma_pr_municipal_bonds_known_seed_cusip_74529jbq4_f6658ad8aa,accepted,cusip=74529JBQ4; issuer=Puerto Rico Electric Power Authority
debt_puerto_rico_electric_power_authority_prepa_2007_74529jbr2,entity_6c1d858c1babe390,PREPA,2007A,2007,520000000,USD,2040-07-01,,0.85,evidence_emma_pr_municipal_bonds_known_seed_cusip_74529jbr2_c0232ae02b,accepted,cusip=74529JBR2; issuer=Puerto Rico Electric Power Authority
debt_puerto_rico_aqueduct_and_sewer_authority_prasa_2012_74528jad2,entity_c5fb8a7f44e8ff18,PRASA,2012A,2012,750000000,USD,2047-07-01,,0.85,evidence_emma_pr_municipal_bonds_known_seed_cusip_74528jad2_a622605ce9,accepted,cusip=74528JAD2; issuer=Puerto Rico Aqueduct and Sewer Authority
debt_puerto_rico_aqueduct_and_sewer_authority_prasa_2008_74528jae0,entity_c5fb8a7f44e8ff18,PRASA,2008A,2008,400000000,USD,2038-07-01,,0.85,evidence_emma_pr_municipal_bonds_known_seed_cusip_74528jae0_fc13c8712d,accepted,cusip=74528JAE0; issuer=Puerto Rico Aqueduct and Sewer Authority
debt_puerto_rico_government_development_bank_other_2015_74526pba6,entity_d363e4ddf2ce6a5d,other,2015A,2015,900000000,USD,2021-01-01,,0.85,evidence_emma_pr_municipal_bonds_known_seed_cusip_74526pba6_e57140a9df,accepted,cusip=74526PBA6; issuer=Puerto Rico Government Development Bank
debt_puerto_rico_infrastructure_financing_authority_other_2005_74527caa5,entity_7cf79ff780fb8279,other,2005A,2005,500000000,USD,2025-07-01,,0.85,evidence_emma_pr_municipal_bonds_known_seed_cusip_74527caa5_675e52963e,accepted,cusip=74527CAA5; issuer=Puerto Rico Infrastructure Financing Authority
debt_puerto_rico_housing_finance_authority_other_2017_74527daa3,entity_c6aa8887d7248228,other,2017A,2017,180000000,USD,2047-12-01,,0.85,evidence_emma_pr_municipal_bonds_known_seed_cusip_74527daa3_8c32126c28,accepted,cusip=74527DAA3; issuer=Puerto Rico Housing Finance Authority
debt_puerto_rico_industrial_development_company_other_2006_74526eaa1,entity_5f99300da364ea64,other,2006A,2006,240000000,USD,2016-07-01,,0.85,evidence_emma_pr_municipal_bonds_known_seed_cusip_74526eaa1_214c97f0b6,accepted,cusip=74526EAA1; issuer=Puerto Rico Industrial Development Company
debt_university_of_puerto_rico_other_2006_916312aa6,entity_cc41784f4b40b6ff,other,P 2006,2006,359000000,USD,2036-06-01,,0.85,evidence_emma_pr_municipal_bonds_known_seed_cusip_916312aa6_091746b7b5,accepted,cusip=916312AA6; issuer=University of Puerto Rico
debt_puerto_rico_convention_center_district_authority_other_2006_74525qaa3,entity_2c16f9ae54df7e1e,other,2006A,2006,469900000,USD,2036-12-15,,0.85,evidence_emma_pr_municipal_bonds_known_seed_cusip_74525qaa3_0a6569238a,accepted,cusip=74525QAA3; issuer=Puerto Rico Convention Center District Authority
debt_puerto_rico_ports_authority_other_2003_74528faa7,entity_efcec09764306ade,other,2003A,2003,220000000,USD,2028-07-01,,0.85,evidence_emma_pr_municipal_bonds_known_seed_cusip_74528faa7_8360ea4859,accepted,cusip=74528FAA7; issuer=Puerto Rico Ports Authority
