entity_id,name,normalized_name,entity_type,parent_entity_id,jurisdiction,registry_ids,confidence,evidence_id,review_status,notes
entity_125b538f289a4708,Commonwealth of Puerto Rico,COMMONWEALTH OF PUERTO RICO,agency,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_2_cdd621ab22,pending,aliases=Government of Puerto Rico|ELA|Estado Libre Asociado de Puerto Rico
entity_3d2fd8a05e1703b2,Financial Oversight and Management Board for Puerto Rico,FINANCIAL OVERSIGHT AND MANAGEMENT BOARD FOR PUERTO RICO,agency,,US,,0.6,evidence_pr_public_money_institutions_reference_seed_row_3_765ce32212,pending,aliases=FOMB|Oversight Board|La Junta|FOMBPR
entity_1c1ee3c0f0c85d23,Puerto Rico Fiscal Agency and Financial Advisory Authority,PUERTO RICO FISCAL AGENCY AND FINANCIAL ADVISORY AUTHORITY,agency,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_4_4999258db5,pending,aliases=AAFAF|AFAF
entity_8d511bc1aaa048d4,Puerto Rico Public-Private Partnerships Authority,PUERTO RICO PUBLIC PRIVATE PARTNERSHIPS AUTHORITY,agency,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_5_e8dcc100ce,pending,aliases=P3 Authority|AAPP|Autoridad de Alianzas Publico-Privadas
entity_6c1d858c1babe390,Puerto Rico Electric Power Authority,PUERTO RICO ELECTRIC POWER AUTHORITY,utility,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_6_fa9dc9bc26,pending,aliases=PREPA|AEE|Autoridad de Energia Electrica
entity_c5fb8a7f44e8ff18,Puerto Rico Aqueduct and Sewer Authority,PUERTO RICO AQUEDUCT AND SEWER AUTHORITY,utility,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_7_3f420eda26,pending,aliases=PRASA|AAA|Autoridad de Acueductos y Alcantarillados
entity_b182f85acf46f69b,Puerto Rico Highways and Transportation Authority,PUERTO RICO HIGHWAYS AND TRANSPORTATION AUTHORITY,agency,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_8_e866cf617c,pending,aliases=HTA|ACT|Autoridad de Carreteras y Transportacion
entity_5204a3d8f84bbfcd,Puerto Rico Sales Tax Financing Corporation,PUERTO RICO SALES TAX FINANCING,fund,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_9_8cec77c4f5,pending,aliases=COFINA|Corporacion del Fondo de Interes Apremiante
entity_d363e4ddf2ce6a5d,Government Development Bank for Puerto Rico,GOVERNMENT DEVELOPMENT BANK FOR PUERTO RICO,agency,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_10_666241559e,pending,aliases=GDB|BGF|Banco Gubernamental de Fomento|Puerto Rico Government Development Bank
entity_67880db21dd281cd,Puerto Rico Department of Economic Development and Commerce,PUERTO RICO DEPARTMENT OF ECONOMIC DEVELOPMENT AND COMMERCE,agency,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_11_e64ed14b88,pending,aliases=DDEC|Departamento de Desarrollo Economico y Comercio
entity_42ffd9ad9ab45e6a,Puerto Rico Public Buildings Authority,PUERTO RICO PUBLIC BUILDINGS AUTHORITY,agency,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_12_e5ca1c0b9b,pending,aliases=PBA|AEP|Autoridad de Edificios Publicos
entity_299e165490469537,LUMA Energy,LUMA ENERGY,firm,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_13_37bbf4588e,pending,aliases=LUMA
entity_0f8f1789b2c687ed,Genera PR,GENERA PR,firm,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_14_fa8a83e407,pending,aliases=Genera|Genera Puerto Rico
entity_3719113e87688e83,Autopistas Metropolitanas de Puerto Rico,AUTOPISTAS METROPOLITANAS DE PUERTO RICO,firm,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_15_bdb6788136,pending,aliases=Metropistas
entity_5c5e771df611c784,Autopistas de Puerto Rico y Compañía,AUTOPISTAS DE PUERTO RICO Y COMPANIA,firm,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_16_652fb3b1bd,pending,aliases=Autopistas de Puerto Rico|APR
entity_7cf79ff780fb8279,Puerto Rico Infrastructure Financing Authority,PUERTO RICO INFRASTRUCTURE FINANCING AUTHORITY,agency,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_17_c52ab3af92,pending,aliases=PRIFA|AFI|Autoridad para el Financiamiento de la Infraestructura
entity_c6aa8887d7248228,Puerto Rico Housing Finance Authority,PUERTO RICO HOUSING FINANCE AUTHORITY,agency,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_18_96fbf44a74,pending,aliases=PRHFA|AFV|Autoridad para el Financiamiento de la Vivienda
entity_5f99300da364ea64,Puerto Rico Industrial Development Company,PUERTO RICO INDUSTRIAL DEVELOPMENT,agency,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_19_c54915aa25,pending,aliases=PRIDCO|PRIDCO Real Estate|Compania de Fomento Industrial
entity_cc41784f4b40b6ff,University of Puerto Rico,UNIVERSITY OF PUERTO RICO,agency,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_20_910fc78489,pending,aliases=UPR|Universidad de Puerto Rico
entity_2c16f9ae54df7e1e,Puerto Rico Convention Center District Authority,PUERTO RICO CONVENTION CENTER DISTRICT AUTHORITY,agency,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_21_7aa0a204dc,pending,aliases=CCDA|Autoridad del Distrito del Centro de Convenciones
entity_efcec09764306ade,Puerto Rico Ports Authority,PUERTO RICO PORTS AUTHORITY,agency,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_22_5096421048,pending,aliases=Ports Authority|Autoridad de los Puertos
entity_b14376987d82d5ee,Puerto Rico Public Finance Corporation,PUERTO RICO PUBLIC FINANCE,fund,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_23_f13c74de6b,pending,aliases=PRPFC|Corporacion de Financiamiento Publico
entity_e73c9879d715653a,Puerto Rico Municipal Finance Agency,PUERTO RICO MUNICIPAL FINANCE AGENCY,agency,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_24_227260223b,pending,aliases=MFA|Agencia de Financiamiento Municipal
entity_2e847bba85751a8c,Puerto Rico General Services Administration,PUERTO RICO GENERAL SERVICES ADMINISTRATION,agency,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_25_1048bcad8f,pending,aliases=ASG|AGS|Administracion de Servicios Generales|General Services Administration|GSA Puerto Rico
entity_36443c30dc526c13,LGA Strategies,LGA STRATEGIES,firm,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_26_3756926adc,pending,aliases=LGA
entity_a034a2e43d67206d,The RCL Group,THE RCL GROUP,firm,,PR,,0.6,evidence_pr_public_money_institutions_reference_seed_row_27_319f9c95d9,pending,aliases=RCL Group|RCL
