person_id,full_name,normalized_name,aliases,primary_role,primary_entity_id,jurisdiction,confidence,evidence_id,review_status,notes
person_a89bb0a6e1dc2ead,Alejandro García Padilla,ALEJANDRO GARCIA PADILLA,,,,,0.85,evidence_top250_power_registry_row_30_61c936538f,accepted,registry_tiers=A; flows=Debt; flow_score=75
person_d49c52440c3b0fcc,Ana Matosantos,ANA MATOSANTOS,,,,,0.95,evidence_top250_power_registry_row_12_8af8fd8d49,accepted,"registry_tiers=A/E; flows=Debt,Lobbying; flow_score=80"
person_fe6141b802c515fa,Andrew Biggs,ANDREW BIGGS,,,,,0.95,evidence_top250_power_registry_row_21_3486bfec4b,accepted,registry_tiers=A; flows=Debt; flow_score=80
person_f0188290b19a29f4,Andrew N. Rosenberg,ANDREW N ROSENBERG,,,,,0.95,evidence_top250_power_registry_row_77_2a138ea8ad,accepted,registry_tiers=C; flows=Debt; flow_score=60
person_835ab43bfd838dc3,Andrew Rosenberg,ANDREW ROSENBERG,,,,,0.85,evidence_top250_power_registry_row_62_54c3249ffc,accepted,registry_tiers=B; flows=Debt; flow_score=70
person_2f80fed2bcdf8335,Aníbal Acevedo Vilá,ANIBAL ACEVEDO VILA,,,,,0.85,evidence_top250_power_registry_row_32_a5c2a7660d,accepted,registry_tiers=A; flows=Debt; flow_score=75
person_217d43d36b0b0144,Antonio L. Medina,ANTONIO L MEDINA,,,,,0.95,evidence_top250_power_registry_row_13_8861db1cf9,accepted,registry_tiers=A; flows=Debt; flow_score=80
person_a35cecb3df82d944,Arthur Gonzalez,ARTHUR GONZALEZ,,,,,0.95,evidence_top250_power_registry_row_15_ce92685996,accepted,registry_tiers=A; flows=Debt; flow_score=85
person_60199ff85cc1996f,Betty Rosa,BETTY ROSA,,,,,0.95,evidence_top250_power_registry_row_17_083a9c5d60,accepted,registry_tiers=A; flows=Debt; flow_score=80
person_656bae285db2e7cd,Brian Rosen,BRIAN ROSEN,,,,,0.85,evidence_top250_power_registry_row_67_dfd92ade5b,accepted,registry_tiers=B/C; flows=Debt; flow_score=70
person_00b24791faec5525,Bruce Karsh,BRUCE KARSH,,,,,0.85,evidence_top250_power_registry_row_41_0787697b41,accepted,registry_tiers=B; flows=Debt; flow_score=70
person_813253a976e98383,Cameron McKenzie,CAMERON MCKENZIE,,,,,0.95,evidence_top250_power_registry_row_20_ce4ed36896,accepted,registry_tiers=A; flows=Debt; flow_score=80
person_8bda3b4b5c15b2ee,Carlos García,CARLOS GARCIA,,,,,0.95,evidence_top250_power_registry_row_10_57c58711c4,accepted,registry_tiers=A; flows=Debt; flow_score=80
person_8deb3bc24debda01,Christian Sobrino,CHRISTIAN SOBRINO,,,,,0.85,evidence_top250_power_registry_row_24_6b2ff3f2c5,accepted,"registry_tiers=A/E; flows=Debt,Lobbying; flow_score=80"
person_d932762e92b2850d,David Skeel,DAVID SKEEL,,,,,0.95,evidence_top250_power_registry_row_14_49f2e55356,accepted,registry_tiers=A; flows=Debt; flow_score=85
person_bf99c391020aed7c,Doriel Pagán,DORIEL PAGAN,,,,,0.95,evidence_top250_power_registry_row_124_7a9eea08ad,accepted,registry_tiers=D; flows=Utilities; flow_score=50
person_613d394e04265e46,Federico Stubbe,FEDERICO STUBBE,,,,,0.85,evidence_top250_power_registry_row_215_d32ac0f99f,accepted,registry_tiers=F; flows=RealEstate; flow_score=30
person_35443914de750eeb,Fermin Fontanes,FERMIN FONTANES,,,,,0.95,evidence_top250_power_registry_row_121_ec66fafdfb,accepted,"registry_tiers=D; flows=Contracts,Privatization; flow_score=50"
person_332832c031efb0ab,Francisco J. Domenech,FRANCISCO J DOMENECH,,,,,0.95,evidence_top250_power_registry_row_3_c062a0a834,accepted,"registry_tiers=A; flows=Contracts,Debt; flow_score=85"
person_d30846d82010402a,Howard Marks,HOWARD MARKS,,,,,0.85,evidence_top250_power_registry_row_40_faab58d3ed,accepted,registry_tiers=B; flows=Debt; flow_score=75
person_12aab94c3ff757f4,Ivan Báez,IVAN BAEZ,,,,,0.95,evidence_top250_power_registry_row_120_8a6460e6b9,accepted,registry_tiers=D; flows=Utilities; flow_score=50
person_7e8f75436608b940,Jaime El Koury,JAIME EL KOURY,,,,,0.95,evidence_top250_power_registry_row_6_835aa32869,accepted,registry_tiers=A; flows=Debt; flow_score=80
person_46643ae50692f228,Janisse Quiñones,JANISSE QUINONES,,,,,0.95,evidence_top250_power_registry_row_117_5503d2c1b2,accepted,registry_tiers=D; flows=Utilities; flow_score=50
person_a5b69668fded6da2,Jenniffer González Colón,JENNIFFER GONZALEZ COLON,,,,,0.95,evidence_top250_power_registry_row_8_148c6d28eb,accepted,"registry_tiers=A; flows=Debt,Legislative; flow_score=80"
person_1264805214368d4f,John E. Nixon,JOHN E NIXON,,,,,0.95,evidence_top250_power_registry_row_5_2aaacd2185,accepted,registry_tiers=A; flows=Debt; flow_score=85
person_d07e714899f4c094,John J. Rapisardi,JOHN J RAPISARDI,,,,,0.85,evidence_top250_power_registry_row_108_38e02fe551,accepted,registry_tiers=C; flows=Debt; flow_score=60
person_b8c3af7cce81fcdd,John Paulson,JOHN PAULSON,,,,,0.85,evidence_top250_power_registry_row_2_0ec2db39f3,accepted,"registry_tiers=A; flows=Debt,RealEstate; flow_score=85"
person_a4c2c17d33ca9418,John Rapisardi,JOHN RAPISARDI,,,,,0.95,evidence_top250_power_registry_row_64_682bce0b94,accepted,registry_tiers=B/C; flows=Debt; flow_score=70
