source_system,priority,expected_dataset,reason,owner,attempted_at,status,rows_staged,manifest_path,notes
master_builder.build_unified_master,0,,,,2026-05-08T16:53:36Z,execution_failure,0,,
usaspending_awards,1,,,,2026-05-08T16:53:36Z,execution_failure,0,,
sam_entity_extract,2,,,,2026-05-08T16:53:36Z,execution_failure,0,,
fsrs_subawards,3,,,,2026-05-08T16:53:36Z,execution_failure,0,,
fema_pa_hmgp,4,,,,2026-05-08T16:53:36Z,execution_failure,0,,
hud_cdbg,5,,,,2026-05-08T16:53:36Z,execution_failure,0,,
cor3,6,,,,2026-05-08T16:53:36Z,execution_failure,0,,
prasa_aaa,7,,,,2026-05-08T16:53:36Z,execution_failure,0,,
prepa_luma_genera,8,,,,2026-05-08T16:53:36Z,execution_failure,0,,
lda,9,,,,2026-05-08T16:53:36Z,execution_failure,0,,
pr_cabilderos,10,,,,2026-05-08T16:53:36Z,execution_failure,0,,
emma_msrb_bonds,11,,,,2026-05-08T16:53:36Z,execution_failure,0,,
fdic_banks,12,,,,2026-05-08T16:53:36Z,execution_failure,0,,
cms_medicare,13,,,,2026-05-08T16:53:36Z,execution_failure,0,,
fec,14,,,,2026-05-08T16:53:36Z,execution_failure,0,,
municipal_contracts,15,,,,2026-05-08T16:53:36Z,execution_failure,0,,
ogpe_permits,16,,,,2026-05-08T16:53:36Z,execution_failure,0,,
act60_lihtc,17,,,,2026-05-08T16:53:36Z,execution_failure,0,,
promesa_creditors,18,,,,2026-05-08T16:53:36Z,execution_failure,0,,
sf133,19,,,,2026-05-08T16:53:36Z,execution_failure,0,,
ofac,20,,,,2026-05-08T16:53:36Z,execution_failure,0,,
