priority,expected_input,source_family,manual_status,credential_status,endpoint_retry_status,producer_retry_status,terminal_status,next_action,reason
1,data/staging/processed/pr_contracts_master.csv,usaspending_federal_awards_backbone,missing,not_checked,not_applicable,not_applicable,blocked,provide_manual_file,no_file_present
2,data/staging/processed/pr_grants_master.csv,usaspending_federal_awards_backbone,missing,available,failed_command,not_applicable,blocked,retry_endpoint,command timed out after 20s
3,data/staging/processed/pr_subawards_master.csv,fsrs_subawards,missing,not_checked,not_applicable,failed_command,blocked,retry_producer,"2026-05-08 20:41:32 [INFO] Starting PR subawards download... 2026-05-08 20:41:32 [INFO] [Window 2000f2009] 2007-10-01 to 2009-09-30 2026-05-08 20:41:32 [INFO] Fetching subawards_grants_2000f2009.csv (2007-10-01 to 2009-09-30, type=grants) 2026-05-08 20:41:33 [WARNING] Attempt 1 failed (('Connection aborted.', RemoteDis"
4,data/staging/processed/pr_fema_pa_master.csv,fema_pa_hmgp,missing,available,failed_command,not_applicable,blocked,retry_endpoint,command timed out after 20s
5,data/staging/processed/pr_fema_hmgp_master.csv,fema_pa_hmgp,missing,available,failed_command,not_applicable,blocked,retry_endpoint,command timed out after 20s
6,data/staging/processed/pr_research_master.csv,federal_research,missing,available,failed_command,not_applicable,blocked,retry_endpoint,command timed out after 20s
7,data/staging/processed/pr_sba_loans_master.csv,sba_loans,missing,not_checked,not_applicable,not_applicable,blocked,provide_manual_file,no_file_present
9,data/staging/processed/pr_cdbg_dr_master.csv,hud_cdbg,missing,available,failed_command,not_applicable,blocked,retry_endpoint,command timed out after 20s
14,data/staging/processed/pr_sbir_master.csv,federal_sectoral_sbir,missing,not_checked,not_applicable,not_applicable,blocked,provide_manual_file,no_file_present
16,data/staging/processed/pr_usace_civil_master.csv,federal_sectoral_usace,missing,not_checked,not_applicable,failed_command,blocked,retry_producer,"2026-05-08 20:41:47 [INFO] Starting USACE civil works download for Puerto Rico... 2026-05-08 20:41:47 [INFO] [Window 2000f2009] 2007-10-01 to 2009-09-30 2026-05-08 20:41:47 [INFO] Fetching usace_civil_pop_2000f2009.csv (filter=pop) 2026-05-08 20:41:48 [WARNING] Attempt 1 failed (('Connection aborted.', RemoteDisconnect"
18,data/staging/expansion/expansion_idv_indirect_pr.csv,usaspending_federal_awards_backbone,missing,available,failed_command,not_applicable,blocked,retry_endpoint,command timed out after 20s
19,data/staging/expansion/expansion_dod_upr_2001_2015.csv,usaspending_federal_awards_backbone,missing,available,failed_command,not_applicable,blocked,retry_endpoint,command timed out after 20s
20,data/staging/expansion/expansion_dod_upr_2016_2025.csv,usaspending_federal_awards_backbone,missing,available,failed_command,not_applicable,blocked,retry_endpoint,command timed out after 20s
21,data/staging/expansion/expansion_reconstruction_2017_2025.csv,usaspending_federal_awards_backbone,missing,available,failed_command,not_applicable,blocked,retry_endpoint,command timed out after 20s
