priority,source_family,expected_input,manual_status,endpoint_status,producer_status,terminal_status,next_action,reason
1,usaspending_federal_awards_backbone,data/staging/processed/pr_contracts_master.csv,missing,not_checked,not_checked,blocked,provide_manual_file,no_file_present
2,usaspending_federal_awards_backbone,data/staging/processed/pr_grants_master.csv,missing,failed_command,not_checked,blocked,retry_endpoint,command timed out after 20s
3,fsrs_subawards,data/staging/processed/pr_subawards_master.csv,missing,not_checked,failed_command,blocked,retry_producer,"2026-05-08 21:00:13 [INFO] Starting PR subawards download... 2026-05-08 21:00:13 [INFO] [Window 2000f2009] 2007-10-01 to 2009-09-30 2026-05-08 21:00:13 [INFO] Fetching subawards_grants_2000f2009.csv (2007-10-01 to 2009-09-30, type=grants) 2026-05-08 21:00:14 [WARNING] No results for subawards_grants_2000f2009.csv 2026-"
4,fema_pa_hmgp,data/staging/processed/pr_fema_pa_master.csv,missing,failed_command,not_checked,blocked,retry_endpoint,command timed out after 20s
5,fema_pa_hmgp,data/staging/processed/pr_fema_hmgp_master.csv,missing,failed_command,not_checked,blocked,retry_endpoint,command timed out after 20s
6,federal_research,data/staging/processed/pr_research_master.csv,missing,failed_command,not_checked,blocked,retry_endpoint,command timed out after 20s
7,sba_loans,data/staging/processed/pr_sba_loans_master.csv,missing,not_checked,not_checked,blocked,provide_manual_file,no_file_present
9,hud_cdbg,data/staging/processed/pr_cdbg_dr_master.csv,missing,failed_command,not_checked,blocked,retry_endpoint,command timed out after 20s
14,federal_sectoral_sbir,data/staging/processed/pr_sbir_master.csv,missing,not_checked,not_checked,blocked,provide_manual_file,no_file_present
16,federal_sectoral_usace,data/staging/processed/pr_usace_civil_master.csv,missing,not_checked,failed_command,blocked,retry_producer,"2026-05-08 21:00:18 [INFO] Starting USACE civil works download for Puerto Rico... 2026-05-08 21:00:18 [INFO] [Window 2000f2009] 2007-10-01 to 2009-09-30 2026-05-08 21:00:18 [INFO] Fetching usace_civil_pop_2000f2009.csv (filter=pop) 2026-05-08 21:00:18 [ERROR] HTTP 422 — skipping: {""message"":""'award_type_codes' must onl"
18,usaspending_federal_awards_backbone,data/staging/expansion/expansion_idv_indirect_pr.csv,missing,failed_command,not_checked,blocked,retry_endpoint,command timed out after 20s
19,usaspending_federal_awards_backbone,data/staging/expansion/expansion_dod_upr_2001_2015.csv,missing,failed_command,not_checked,blocked,retry_endpoint,command timed out after 20s
20,usaspending_federal_awards_backbone,data/staging/expansion/expansion_dod_upr_2016_2025.csv,missing,failed_command,not_checked,blocked,retry_endpoint,command timed out after 20s
21,usaspending_federal_awards_backbone,data/staging/expansion/expansion_reconstruction_2017_2025.csv,missing,failed_command,not_checked,blocked,retry_endpoint,command timed out after 20s
