expected_input,source_dataset,gap_status,manual_blocker,manual_blocker_reason,external_blocker_impact
data/staging/processed/pr_contracts_master.csv,contracts,missing,True,no_file_present,25
data/staging/processed/pr_grants_master.csv,grants,missing,True,no_file_present,25
data/staging/processed/pr_subawards_master.csv,subawards,missing,True,no_file_present,25
data/staging/processed/pr_fema_pa_master.csv,fema_pa,missing,True,no_file_present,25
data/staging/processed/pr_fema_hmgp_master.csv,fema_hmgp,missing,True,no_file_present,25
data/staging/processed/pr_research_master.csv,research,missing,True,no_file_present,25
data/staging/processed/pr_sba_loans_master.csv,sba_loans,missing,True,no_file_present,25
data/staging/processed/pr_slfrf_master.csv,slfrf,missing,False,,25
data/staging/processed/pr_cdbg_dr_master.csv,cdbg_dr,missing,True,no_file_present,25
data/staging/processed/pr_dot_master.csv,dot,missing,False,,25
data/staging/processed/pr_usda_master.csv,usda,missing,False,,25
data/staging/processed/pr_doe_master.csv,doe,missing,False,,25
data/staging/processed/pr_hud_master.csv,hud,missing,False,,25
data/staging/processed/pr_sbir_master.csv,sbir,missing,True,no_file_present,25
data/staging/processed/pr_epa_master.csv,epa,missing,False,,25
data/staging/processed/pr_usace_civil_master.csv,usace_civil,missing,True,no_file_present,25
data/staging/processed/pr_wioa_grants.csv,wioa,missing,False,,25
data/staging/expansion/expansion_idv_indirect_pr.csv,usaspending_expansion,missing,True,no_file_present,25
data/staging/expansion/expansion_dod_upr_2001_2015.csv,usaspending_expansion,missing,True,no_file_present,25
data/staging/expansion/expansion_dod_upr_2016_2025.csv,usaspending_expansion,missing,True,no_file_present,25
data/staging/expansion/expansion_reconstruction_2017_2025.csv,usaspending_expansion,missing,True,no_file_present,25
