expected_input,source_system,source_file,source_manifest_path,target_output_path,lineage_path,mapped_rel,mapped_abs,mapping_mode,input_status,row_count,sha256
data/staging/processed/pr_contracts_master.csv,contracts,,,data/staging/processed/pr_contracts_master.csv,data/staging/processed/pr_contracts_master.csv,data/staging/processed/partial/r4_9a_missing/pr_contracts_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/partial/r4_9a_missing/pr_contracts_master.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/processed/pr_grants_master.csv,grants,,,data/staging/processed/pr_grants_master.csv,data/staging/processed/pr_grants_master.csv,data/staging/processed/partial/r4_9a_missing/pr_grants_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/partial/r4_9a_missing/pr_grants_master.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/processed/pr_subawards_master.csv,subawards,,,data/staging/processed/pr_subawards_master.csv,data/staging/processed/pr_subawards_master.csv,data/staging/processed/partial/r4_9a_missing/pr_subawards_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/partial/r4_9a_missing/pr_subawards_master.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/processed/pr_fema_pa_master.csv,fema_pa,,,data/staging/processed/pr_fema_pa_master.csv,data/staging/processed/pr_fema_pa_master.csv,data/staging/processed/partial/r4_9a_missing/pr_fema_pa_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/partial/r4_9a_missing/pr_fema_pa_master.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/processed/pr_fema_hmgp_master.csv,fema_hmgp,,,data/staging/processed/pr_fema_hmgp_master.csv,data/staging/processed/pr_fema_hmgp_master.csv,data/staging/processed/partial/r4_9a_missing/pr_fema_hmgp_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/partial/r4_9a_missing/pr_fema_hmgp_master.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/processed/pr_research_master.csv,research,,,data/staging/processed/pr_research_master.csv,data/staging/processed/pr_research_master.csv,data/staging/processed/partial/r4_9a_missing/pr_research_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/partial/r4_9a_missing/pr_research_master.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/processed/pr_sba_loans_master.csv,sba_loans,,,data/staging/processed/pr_sba_loans_master.csv,data/staging/processed/pr_sba_loans_master.csv,data/staging/processed/partial/r4_9a_missing/pr_sba_loans_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/partial/r4_9a_missing/pr_sba_loans_master.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/processed/pr_slfrf_master.csv,slfrf,data/staging/processed/pr_slfrf_master.csv,data/manifests/r4_8d/08_pr_slfrf_master.manifest.json,data/staging/processed/pr_slfrf_master.csv,data/staging/processed/pr_slfrf_master.csv,data/staging/processed/pr_slfrf_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/pr_slfrf_master.csv,r4_9a_validated_manifest_missing_source_file,validated_manifest_record_present_but_source_file_missing,200,0c90abdc841bef34566964821f7af8dd17661826b2dfa0319c8bf1575a3b82f0
data/staging/processed/pr_cdbg_dr_master.csv,cdbg_dr,,,data/staging/processed/pr_cdbg_dr_master.csv,data/staging/processed/pr_cdbg_dr_master.csv,data/staging/processed/partial/r4_9a_missing/pr_cdbg_dr_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/partial/r4_9a_missing/pr_cdbg_dr_master.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/processed/pr_dot_master.csv,federal_sectoral_dot,data/staging/processed/pr_dot_master.csv,data/manifests/r4_8d/10_pr_dot_master.manifest.json,data/staging/processed/pr_dot_master.csv,data/staging/processed/pr_dot_master.csv,data/staging/processed/pr_dot_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/pr_dot_master.csv,r4_9a_validated_manifest_missing_source_file,validated_manifest_record_present_but_source_file_missing,374,35c5284b2b38126f2cebdb9223435eda538abdd5e1d82ba88b601ed6f4b55afb
