source_system,source_file,source_record_count,source_sha256,generated_at,producer_script,target_output_path,schema_version,validation_status,known_gaps
usaspending_federal_awards_backbone,data/staging/processed/pr_contracts_master.csv,0,,2026-05-08T15:30:11Z,scripts/deduplicate_master.py,data/staging/processed/pr_contracts_master.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
usaspending_federal_awards_backbone,data/staging/processed/pr_grants_master.csv,0,,2026-05-08T15:30:11Z,scripts/download_grants.py,data/staging/processed/pr_grants_master.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
fsrs_subawards,data/staging/processed/pr_subawards_master.csv,0,,2026-05-08T15:30:11Z,scripts/download_subawards.py,data/staging/processed/pr_subawards_master.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
fema_pa_hmgp,data/staging/processed/pr_fema_pa_master.csv,0,,2026-05-08T15:30:11Z,scripts/download_fema.py,data/staging/processed/pr_fema_pa_master.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
fema_pa_hmgp,data/staging/processed/pr_fema_hmgp_master.csv,0,,2026-05-08T15:30:11Z,scripts/download_fema.py,data/staging/processed/pr_fema_hmgp_master.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
federal_research,data/staging/processed/pr_research_master.csv,0,,2026-05-08T15:30:11Z,scripts/download_research.py,data/staging/processed/pr_research_master.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
sba_loans,data/staging/processed/pr_sba_loans_master.csv,0,,2026-05-08T15:30:11Z,scripts/download_sba.py,data/staging/processed/pr_sba_loans_master.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
slfrf,data/staging/processed/pr_slfrf_master.csv,0,,2026-05-08T15:30:11Z,scripts/download_slfrf.py,data/staging/processed/pr_slfrf_master.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
hud_cdbg,data/staging/processed/pr_cdbg_dr_master.csv,0,,2026-05-08T15:30:11Z,scripts/download_cdbg_dr.py,data/staging/processed/pr_cdbg_dr_master.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
federal_sectoral_dot,data/staging/processed/pr_dot_master.csv,0,,2026-05-08T15:30:11Z,scripts/download_dot.py,data/staging/processed/pr_dot_master.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
federal_sectoral_usda,data/staging/processed/pr_usda_master.csv,0,,2026-05-08T15:30:11Z,scripts/download_usda.py,data/staging/processed/pr_usda_master.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
federal_sectoral_doe,data/staging/processed/pr_doe_master.csv,0,,2026-05-08T15:30:11Z,scripts/download_doe.py,data/staging/processed/pr_doe_master.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
hud_cdbg,data/staging/processed/pr_hud_master.csv,0,,2026-05-08T15:30:11Z,scripts/download_hud.py,data/staging/processed/pr_hud_master.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
federal_sectoral_sbir,data/staging/processed/pr_sbir_master.csv,0,,2026-05-08T15:30:11Z,scripts/download_sbir.py,data/staging/processed/pr_sbir_master.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
federal_sectoral_epa,data/staging/processed/pr_epa_master.csv,0,,2026-05-08T15:30:11Z,scripts/download_epa.py,data/staging/processed/pr_epa_master.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
federal_sectoral_usace,data/staging/processed/pr_usace_civil_master.csv,0,,2026-05-08T15:30:11Z,scripts/download_usace_civil.py,data/staging/processed/pr_usace_civil_master.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
federal_sectoral_wioa,data/staging/processed/pr_wioa_grants.csv,0,,2026-05-08T15:30:11Z,scripts/download_wioa.py,data/staging/processed/pr_wioa_grants.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
usaspending_federal_awards_backbone,data/staging/expansion/expansion_idv_indirect_pr.csv,0,,2026-05-08T15:30:11Z,scripts/auto_download.py,data/staging/expansion/expansion_idv_indirect_pr.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
usaspending_federal_awards_backbone,data/staging/expansion/expansion_dod_upr_2001_2015.csv,0,,2026-05-08T15:30:11Z,scripts/auto_download.py,data/staging/expansion/expansion_dod_upr_2001_2015.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
usaspending_federal_awards_backbone,data/staging/expansion/expansion_dod_upr_2016_2025.csv,0,,2026-05-08T15:30:11Z,scripts/auto_download.py,data/staging/expansion/expansion_dod_upr_2016_2025.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
usaspending_federal_awards_backbone,data/staging/expansion/expansion_reconstruction_2017_2025.csv,0,,2026-05-08T15:30:11Z,scripts/auto_download.py,data/staging/expansion/expansion_reconstruction_2017_2025.csv,r4_8_schema_v1,dry_run_ready,dry-run default mode
