title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
Revised Non-Foreign Overseas Per Diem Rates,Notice,Defense Department; Office of the Secretary,"Defense Human Resources Activity publishes this Civilian Personnel Per Diem Bulletin Number 328. Bulletin Number 328 lists current per diem rates prescribed for reimbursement of subsistence expenses while on official Government travel to Alaska, Hawaii, the Commonwealth of Puerto Rico, and the possessions of the United States. The Fiscal Year (FY) 2025 lodging rate review for Guam, American Samoa, Midway Islands, Northern Mariana Islands, and Wake Island resulted in rate changes for multiple locations. The meal rate for Wake Island was also updated during this review.",90 FR 22077, 2025-09317,https://www.federalregister.gov/documents/2025/05/23/2025-09317/revised-non-foreign-overseas-per-diem-rates,https://www.govinfo.gov/content/pkg/FR-2025-05-23/pdf/2025-09317.pdf,2025-05-23
Revised Non-Foreign Overseas Per Diem Rates,Notice,Defense Department; Office of the Secretary,"Defense Human Resources Activity publishes this Civilian Personnel Per Diem Bulletin Number 313. Bulletin Number 313 lists current per diem rates prescribed for reimbursement of subsistence expenses while on official Government travel to Alaska, Hawaii, the Commonwealth of Puerto Rico, and the possessions of the United States. The Fiscal Year (FY) 2020 per diem rate review for Puerto Rico resulted in lodging, meal and incidental rate changes in certain locations.",85 FR 32368, 2020-11604,https://www.federalregister.gov/documents/2020/05/29/2020-11604/revised-non-foreign-overseas-per-diem-rates,https://www.govinfo.gov/content/pkg/FR-2020-05-29/pdf/2020-11604.pdf,2020-05-29
Revised Non-Foreign Overseas Per Diem Rates,Notice,Defense Department; Office of the Secretary,"Defense Human Resources Activity publishes this Civilian Personnel Per Diem Bulletin Number 312. Bulletin Number 312 lists current per diem rates prescribed for reimbursement of subsistence expenses while on official Government travel to Alaska, Hawaii, the Commonwealth of Puerto Rico, and the possessions of the United States. The Fiscal Year (FY) 2020 per diem rate review for the U.S. Virgin Islands resulted in lodging and meal rate changes in certain locations.",85 FR 22413, 2020-08536,https://www.federalregister.gov/documents/2020/04/22/2020-08536/revised-non-foreign-overseas-per-diem-rates,https://www.govinfo.gov/content/pkg/FR-2020-04-22/pdf/2020-08536.pdf,2020-04-22
Notice of Public Meeting of the Puerto Rico Advisory Committee to the U.S. Commission on Civil Rights,Notice,Civil Rights Commission,"Notice is hereby given, pursuant to the provisions of the rules and regulations of the U.S. Commission on Civil Rights (Commission), and the Federal Advisory Committee Act (FACA), that a meeting of the Puerto Rico Advisory Committee to the Commission will convene by virtual web conference on Monday, April 17, 2023, at 3:30 p.m. Atlantic Time/Eastern Time. The purpose is to discuss their project on the civil rights impacts of the Insular Cases in Puerto Rico, especially in preparation of their in-person briefing in San Juan, Puerto Rico in May 2023.",88 FR 19606, 2023-06843,https://www.federalregister.gov/documents/2023/04/03/2023-06843/notice-of-public-meeting-of-the-puerto-rico-advisory-committee-to-the-us-commission-on-civil-rights,https://www.govinfo.gov/content/pkg/FR-2023-04-03/pdf/2023-06843.pdf,2023-04-03
Notice of Public Meeting of the Puerto Rico Advisory Committee to the U.S. Commission on Civil Rights,Notice,Civil Rights Commission,"Notice is hereby given, pursuant to the provisions of the rules and regulations of the U.S. Commission on Civil Rights (Commission), and the Federal Advisory Committee Act (FACA), that a meeting of the Puerto Rico Advisory Committee to the Commission will convene by virtual web conference. The purpose is to continue discussion on their project on the civil rights impacts of the Insular Cases in Puerto Rico.",90 FR 54286, 2025-21293,https://www.federalregister.gov/documents/2025/11/26/2025-21293/notice-of-public-meeting-of-the-puerto-rico-advisory-committee-to-the-us-commission-on-civil-rights,https://www.govinfo.gov/content/pkg/FR-2025-11-26/pdf/2025-21293.pdf,2025-11-26
"Fisheries of the Caribbean, Gulf of Mexico, and South Atlantic; 2022 Closure for Spiny Lobster in the U.S. Exclusive Economic Zone Around Puerto Rico",Rule,Commerce Department; National Oceanic and Atmospheric Administration,"NMFS implements an accountability measure (AM) for spiny lobster in the U.S. exclusive economic zone (EEZ) around Puerto Rico. NMFS has determined that the annual catch limit (ACL) for spiny lobster in Puerto Rico was exceeded based on average landings during the 2017 through 2019 fishing years. Therefore, NMFS reduces the length of the 2022 fishing season for spiny lobster in the EEZ around Puerto Rico by the amount necessary to ensure that landings do not exceed the ACL in 2022. This AM is necessary to protect the spiny lobster resource in the EEZ around Puerto Rico.",87 FR 38008, 2022-13669,https://www.federalregister.gov/documents/2022/06/27/2022-13669/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-2022-closure-for-spiny-lobster-in-the,https://www.govinfo.gov/content/pkg/FR-2022-06-27/pdf/2022-13669.pdf,2022-06-27
Puerto Rico; Emergency and Related Determinations,Notice,Homeland Security Department; Federal Emergency Management Agency,"This is a notice of the Presidential declaration of an emergency for the Commonwealth of Puerto Rico (FEMA-3610-EM), dated August 13, 2024, and related determinations.",89 FR 73698, 2024-20450,https://www.federalregister.gov/documents/2024/09/11/2024-20450/puerto-rico-emergency-and-related-determinations,https://www.govinfo.gov/content/pkg/FR-2024-09-11/pdf/2024-20450.pdf,2024-09-11
Assessment and Collection of Regulatory Fees for Fiscal Year 2018,Proposed Rule,Federal Communications Commission,"In this document, the Federal Communications Commission (Commission) will revise its Schedule of Regulatory Fees in order to recover an amount of $322,035,000 that Congress has required the Commission to collect for fiscal year 2018, as amended, provides for the annual assessment and collection of regulatory fees under and respectively, for annual ""Mandatory Adjustments"" and ""Permitted Amendments"" to the Schedule of Regulatory Fees.",83 FR 27846, 2018-12748,https://www.federalregister.gov/documents/2018/06/14/2018-12748/assessment-and-collection-of-regulatory-fees-for-fiscal-year-2018,https://www.govinfo.gov/content/pkg/FR-2018-06-14/pdf/2018-12748.pdf,2018-06-14
Revised Non-Foreign Overseas per Diem Rates,Notice,Defense Department; Office of the Secretary,"The Defense Travel Management Office publishes this Civilian Personnel Per Diem Bulletin Number 311. Bulletin Number 311 lists current per diem rates prescribed for reimbursement of subsistence expenses while on official Government travel to Alaska, Hawaii, the Commonwealth of Puerto Rico, and the possessions of the United States. The Fiscal Year (FY) 2019 per diem rate review for Guam, Northern Mariana Islands, and Wake Island resulted in lodging and meal rate changes in certain locations.",84 FR 45477, 2019-18690,https://www.federalregister.gov/documents/2019/08/29/2019-18690/revised-non-foreign-overseas-per-diem-rates,https://www.govinfo.gov/content/pkg/FR-2019-08-29/pdf/2019-18690.pdf,2019-08-29
Notice of Public Meetings of the Puerto Rico Advisory Committee to the U.S. Commission on Civil Rights,Notice,Civil Rights Commission,"Notice is hereby given, pursuant to the provisions of the rules and regulations of the U.S. Commission on Civil Rights (Commission), and the Federal Advisory Committee Act (FACA), that three panel briefings of the Puerto Rico Advisory Committee to the Commission will convene virtually by web conference to hear from experts on the civil rights impacts of the Insular Cases and the Non-Incorporation Doctrine on the Residents of Puerto Rico.",89 FR 37168, 2024-09743,https://www.federalregister.gov/documents/2024/05/06/2024-09743/notice-of-public-meetings-of-the-puerto-rico-advisory-committee-to-the-us-commission-on-civil-rights,https://www.govinfo.gov/content/pkg/FR-2024-05-06/pdf/2024-09743.pdf,2024-05-06
