city_norm,total_donated,num_donors,municipality,federal_rows,federal_amount,federal_unique_targets,political_nodes,sample_political_nodes,sample_federal_targets,muni_norm,political_federal_ratio
ADJUNTAS,2170.0,5,ADJUNTAS,43,688382.0,1,3,COMITE MUNICIPAL ADJUNTAS PIP | COMITE MUNICIPAL ADJUNTAS PNP | COMITE MUNICIPAL ADJUNTAS PPD,GOBIERNO MUNICIPAL ADJUNTAS,ADJUNTAS,0.0031523194970234
AGUADA,17545.0,18,AGUADA,54,1942534.0,1,1,COMITE MUNICIPAL AGUADA PIP,GOBIERNO MUNICIPAL DE AGUADA,AGUADA,0.0090320169428179
AGUADILLA,39826.62,73,AGUADILLA,54,3950871.95,2,3,COMITE MUNICIPAL AGUADILLA PIP | COMITE MUNICIPAL AGUADILLA PNP | COMITE MUNICIPAL AGUADILLA PPD,CASA DEL PEREGRINO AGUADILLA INC. | MUNICIPIO DE AGUADILLA,AGUADILLA,0.0100804633772046
AGUAS BUENAS,12240.0,21,AGUAS BUENAS,50,2807620.0,1,3,COMITE MUNICIPAL AGUAS BUENAS PIP | COMITE MUNICIPAL AGUAS BUENAS PNP | COMITE MUNICIPAL AGUAS BUENAS PPD,MUNICIPIO DE AGUAS BUENAS,AGUAS BUENAS,0.0043595643285059
AIBONITO,23500.0,13,AIBONITO,51,905097.0,2,3,COMITE MUNICIPAL AIBONITO PIP | COMITE MUNICIPAL AIBONITO PNP | COMITE MUNICIPAL AIBONITO PPD,MUNICIPIO AIBONITO CALLE DEGETAU 55 | CASA AIBONITO INC,AIBONITO,0.0259640679396793
ARECIBO,48197.09,37,ARECIBO,166,18132888.32,3,4,COMITE MUNICIPAL ARECIBO PIP | COMITE MUNICIPAL ARECIBO PNP | COMITE MUNICIPAL ARECIBO PPD | ARECIBO AHORA ES,"ARECIBO 129, INC | ARECIBO CINEMA CORPORATION | MUNICIPIO DE ARECIBO",ARECIBO,0.0026579929876279
ARROYO,720.84,1,ARROYO,85,3533853.9,5,5,COMITE MUNICIPAL ARROYO PIP | COMITE MUNICIPAL ARROYO PNP | COMITE MUNICIPAL ARROYO PPD | LUIS ARROYO CHIQUES | ROLANDO CRESPO ARROYO,"EMPRESAS GUTIERREZ DEL ARROYO INC | ARROYO, JUAN JOSE ELIAS | JUAN JOSE ELIAS ARROYO | ARROYO VIVAS CO INC | MUNICIPIO DE ARROYO PR",ARROYO,0.0002039812681559
BARCELONETA,110.0,2,BARCELONETA,51,2148540.0,1,2,COMITE MUNICIPAL BARCELONETA PIP | COMITE MUNICIPAL BARCELONETA PPD,MUNICIPALITY OF BARCELONETA,BARCELONETA,5.119755741107915e-05
BARRANQUITAS,6320.0,18,BARRANQUITAS,45,2001818.0,1,3,COMITE MUNICIPAL BARRANQUITAS PIP | COMITE MUNICIPAL BARRANQUITAS PNP | COMITE MUNICIPAL BARRANQUITAS PPD,MUNICIPALITY OF BARRANQUITAS,BARRANQUITAS,0.0031571301686766
BAYAMON,161962.91,189,BAYAMON,67,47494279.75,3,2,COMITE MUNICIPAL BAYAMON PIP | COMITE MUNICIPAL BAYAMON PNP,"BAYAMON CARDIOVASCULAR SURGERY | MUNICIPIO DE BAYAMON | COMPANIA DE VIVIENDA PARA ANCIANOS DE BAYAMON, INC.",BAYAMON,0.0034101561462251
CABO ROJO,12165.0,21,CABO ROJO,52,1443640.0,3,2,COMITE MUNICIPAL CABO ROJO PIP | COMITE MUNICIPAL CABO ROJO PNP,CENTRO CRISTIANO DE RESTAURACION DE CABO ROJO INC | MUNICIPALITY OF CABO ROJO | CABO ROJO AMBULANCE TRANSPORT,CABO ROJO,0.0084266160538638
CAGUAS,84960.38,113,CAGUAS,56,22803740.06,1,3,COMITE MUNICIPAL CAGUAS PIP | COMITE MUNICIPAL CAGUAS PNP | COMITE MUNICIPAL CAGUAS PPD,CAGUAS MUNICIPALITY,CAGUAS,0.0037257212973159
CAMUY,5230.0,15,CAMUY,45,2043864.0,2,2,COMITE MUNICIPAL CAMUY PIP | COMITE MUNICIPAL CAMUY PNP,CAMUY HEALTH SERVICES | CAMUY MUNICIPALITY,CAMUY,0.0025588786729449
CANOVANAS,9226.13,24,CANOVANAS,46,601899.0,1,3,COMITE MUNICIPAL CANOVANAS PIP | COMITE MUNICIPAL CANOVANAS PNP | COMITE MUNICIPAL CANOVANAS PPD,MUNICIPALITY OF CANOVANAS,CANOVANAS,0.0153283690453049
CAROLINA,224037.22,168,CAROLINA,63,14408057.85,3,3,"COMITE MUNICIPAL CAROLINA PIP | COMITE MUNICIPAL CAROLINA PPD | COMITE PRECINTO 107, CAROLINA PNP",PLAZA CAROLINA MALL LP | MUNICIPIO DE CAROLINA | ADULT COMMUNITY OF CAROLINA LLC,CAROLINA,0.0155494392327137
CAYEY,6450.0,15,CAYEY,80,3342148.2,2,2,COMITE MUNICIPAL CAYEY PIP | COMITE MUNICIPAL CAYEY PPD,GOBIERNO MUNICIPAL DE CAYEY | MUNICIPALITY OF CAYEY,CAYEY,0.0019298964659915
CEIBA,470.0,3,CEIBA,51,1850235.0,4,3,COMITE MUNICIPAL CEIBA PIP | COMITE MUNICIPAL CEIBA PNP | COMITE MUNICIPAL CEIBA PPD,"COOPERATIVA DE VIVIENDA LA CEIBA | BRISAS DE CEIBA CORP | MUNICIPIO DE CEIBA | CORPORACION DE DESARROLLO ECONOMICO DE CEIBA, C.D.",CEIBA,0.0002540217864217
CIALES,1400.0,10,CIALES,49,2054445.0,2,3,COMITE MUNICIPAL CIALES PIP | COMITE MUNICIPAL CIALES PNP | COMITE MUNICIPAL CIALES PPD,CIALES UNIFORMS INC | MUNICIPIO DE CIALES,CIALES,0.0006814492478503
CIDRA,12840.0,24,CIDRA,43,3280533.0,1,3,COMITE MUNICIPAL CIDRA PIP | COMITE MUNICIPAL CIDRA PNP | COMITE MUNICIPAL CIDRA PPD,MUNICIPIO DE CIDRA,CIDRA,0.0039139981216466
COAMO,4626.0,16,COAMO,1,650000.0,1,2,COMITE MUNICIPAL COAMO PNP | COMITE MUNICIPAL COAMO PPD,MUNICIPIO DE COAMO,COAMO,0.007116923076923
COMERIO,1075.0,3,COMERIO,45,1526216.0,1,2,COMITE MUNICIPAL COMERIO PNP | COMITE MUNICIPAL COMERIO PPD,MUNICIPIO DE COMERIO,COMERIO,0.0007043563951629
COROZAL,10720.0,10,COROZAL,46,1987159.0,1,2,COMITE MUNICIPAL COROZAL PIP | COMITE MUNICIPAL COROZAL PPD,MUNICIPIO DE COROZAL,COROZAL,0.0053946362621209
DORADO,117791.0,78,DORADO,54,11097768.59,5,3,COMITE MUNICIPAL DORADO PIP | COMITE MUNICIPAL DORADO PNP | COMITE MUNICIPAL DORADO PPD,"EL DORADO TECHNICAL SERVICES, S.E. | TASIS DORADO INC | DORADO ACADEMY INC | MUNICIPIO DE DORADO | VALLE DORADO, INC",DORADO,0.0106139354992623
FAJARDO,12845.0,22,FAJARDO,59,1533936.8,3,3,COMITE MUNICIPAL FAJARDO PIP | COMITE MUNICIPAL FAJARDO PNP | COMITE MUNICIPAL FAJARDO PPD,FAJARDO INN S.E. | MUNICIPALITY OF FAJARDO | FAJARDO RHF HOUSING INC,FAJARDO,0.0083738782458312
