issuer_entity_id,canonical_name,debt_classes,instrument_count,total_par,currency,evidence_tier,confidence,notes
ENT_ORG_5204a3d8f84bbfcd,Puerto Rico Sales Tax Financing Corporation,COFINA,2,16314000000.0,USD,T2,0.85,
ENT_AGENCY_125b538f289a4708,Commonwealth of Puerto Rico,GO,3,11800000000.0,USD,T2,0.85,
ENT_AGENCY_b182f85acf46f69b,Puerto Rico Highways and Transportation Authority,HTA,2,4108400000.0,USD,T2,0.85,
ENT_ORG_b14376987d82d5ee,Puerto Rico Public Finance Corporation,other,1,1255000000.0,USD,T2,0.85,
ENT_AGENCY_6c1d858c1babe390,Puerto Rico Electric Power Authority,PREPA,2,1193000000.0,USD,T2,0.85,
ENT_AGENCY_c5fb8a7f44e8ff18,Puerto Rico Aqueduct and Sewer Authority,PRASA,2,1150000000.0,USD,T2,0.85,
ENT_AGENCY_d363e4ddf2ce6a5d,Government Development Bank for Puerto Rico,other,1,900000000.0,USD,T2,0.85,
ENT_AGENCY_7cf79ff780fb8279,Puerto Rico Infrastructure Financing Authority,other,1,500000000.0,USD,T2,0.85,
ENT_AGENCY_2c16f9ae54df7e1e,Puerto Rico Convention Center District Authority,other,1,469900000.0,USD,T2,0.85,
ENT_AGENCY_cc41784f4b40b6ff,University of Puerto Rico,other,1,359000000.0,USD,T2,0.85,
ENT_AGENCY_5f99300da364ea64,Puerto Rico Industrial Development Company,other,1,240000000.0,USD,T2,0.85,
ENT_AGENCY_efcec09764306ade,Puerto Rico Ports Authority,other,1,220000000.0,USD,T2,0.85,
ENT_AGENCY_c6aa8887d7248228,Puerto Rico Housing Finance Authority,other,1,180000000.0,USD,T2,0.85,
ENT_AGENCY_e73c9879d715653a,Puerto Rico Municipal Finance Agency,other,1,155000000.0,USD,T2,0.85,
