debt_id,issuer_entity_id,issuer_name,debt_class,series,issue_year,par_amount,currency,maturity_date,evidence_tier,confidence,notes
debt_puerto_rico_sales_tax_financing_corp_cofina_2019_74526qbb2,ENT_ORG_5204a3d8f84bbfcd,Puerto Rico Sales Tax Financing Corporation,COFINA,2019A,2019,12114600000.0,USD,2058-07-01,T2,0.85,cusip=74526QBB2; issuer=Puerto Rico Sales Tax Financing Corp
debt_puerto_rico_sales_tax_financing_corp_cofina_2019_74526qbc0,ENT_ORG_5204a3d8f84bbfcd,Puerto Rico Sales Tax Financing Corporation,COFINA,2019B,2019,4199400000.0,USD,2040-07-01,T2,0.85,cusip=74526QBC0; issuer=Puerto Rico Sales Tax Financing Corp
debt_commonwealth_of_puerto_rico_go_2022_745145tn0,ENT_AGENCY_125b538f289a4708,Commonwealth of Puerto Rico,GO,2022A,2022,7000000000.0,USD,2051-07-01,T2,0.85,cusip=745145TN0; issuer=Commonwealth of Puerto Rico
debt_commonwealth_of_puerto_rico_go_2014_745145sw1,ENT_AGENCY_125b538f289a4708,Commonwealth of Puerto Rico,GO,2014A,2014,3500000000.0,USD,2035-07-01,T2,0.85,cusip=745145SW1; issuer=Commonwealth of Puerto Rico
debt_commonwealth_of_puerto_rico_go_2012_745145sk7,ENT_AGENCY_125b538f289a4708,Commonwealth of Puerto Rico,GO,2012A,2012,1300000000.0,USD,2042-07-01,T2,0.85,cusip=745145SK7; issuer=Commonwealth of Puerto Rico
debt_puerto_rico_highways_and_transportation_authority_hta_2022_745190ab2,ENT_AGENCY_b182f85acf46f69b,Puerto Rico Highways and Transportation Authority,HTA,2022A,2022,3420400000.0,USD,2046-07-01,T2,0.85,cusip=745190AB2; issuer=Puerto Rico Highways and Transportation Authority
debt_puerto_rico_highways_and_transportation_authority_hta_2003_74514lkt4,ENT_AGENCY_b182f85acf46f69b,Puerto Rico Highways and Transportation Authority,HTA,2003A,2003,688000000.0,USD,2042-07-01,T2,0.85,cusip=74514LKT4; issuer=Puerto Rico Highways and Transportation Authority
debt_puerto_rico_electric_power_authority_prepa_2013_74529jbq4,ENT_AGENCY_6c1d858c1babe390,Puerto Rico Electric Power Authority,PREPA,2013A,2013,673000000.0,USD,2043-07-01,T2,0.85,cusip=74529JBQ4; issuer=Puerto Rico Electric Power Authority
debt_puerto_rico_electric_power_authority_prepa_2007_74529jbr2,ENT_AGENCY_6c1d858c1babe390,Puerto Rico Electric Power Authority,PREPA,2007A,2007,520000000.0,USD,2040-07-01,T2,0.85,cusip=74529JBR2; issuer=Puerto Rico Electric Power Authority
debt_puerto_rico_aqueduct_and_sewer_authority_prasa_2012_74528jad2,ENT_AGENCY_c5fb8a7f44e8ff18,Puerto Rico Aqueduct and Sewer Authority,PRASA,2012A,2012,750000000.0,USD,2047-07-01,T2,0.85,cusip=74528JAD2; issuer=Puerto Rico Aqueduct and Sewer Authority
debt_puerto_rico_aqueduct_and_sewer_authority_prasa_2008_74528jae0,ENT_AGENCY_c5fb8a7f44e8ff18,Puerto Rico Aqueduct and Sewer Authority,PRASA,2008A,2008,400000000.0,USD,2038-07-01,T2,0.85,cusip=74528JAE0; issuer=Puerto Rico Aqueduct and Sewer Authority
debt_puerto_rico_government_development_bank_other_2015_74526pba6,ENT_AGENCY_d363e4ddf2ce6a5d,Government Development Bank for Puerto Rico,other,2015A,2015,900000000.0,USD,2021-01-01,T2,0.85,cusip=74526PBA6; issuer=Puerto Rico Government Development Bank
debt_puerto_rico_infrastructure_financing_authority_other_2005_74527caa5,ENT_AGENCY_7cf79ff780fb8279,Puerto Rico Infrastructure Financing Authority,other,2005A,2005,500000000.0,USD,2025-07-01,T2,0.85,cusip=74527CAA5; issuer=Puerto Rico Infrastructure Financing Authority
debt_puerto_rico_housing_finance_authority_other_2017_74527daa3,ENT_AGENCY_c6aa8887d7248228,Puerto Rico Housing Finance Authority,other,2017A,2017,180000000.0,USD,2047-12-01,T2,0.85,cusip=74527DAA3; issuer=Puerto Rico Housing Finance Authority
debt_puerto_rico_industrial_development_company_other_2006_74526eaa1,ENT_AGENCY_5f99300da364ea64,Puerto Rico Industrial Development Company,other,2006A,2006,240000000.0,USD,2016-07-01,T2,0.85,cusip=74526EAA1; issuer=Puerto Rico Industrial Development Company
debt_university_of_puerto_rico_other_2006_916312aa6,ENT_AGENCY_cc41784f4b40b6ff,University of Puerto Rico,other,P 2006,2006,359000000.0,USD,2036-06-01,T2,0.85,cusip=916312AA6; issuer=University of Puerto Rico
debt_puerto_rico_convention_center_district_authority_other_2006_74525qaa3,ENT_AGENCY_2c16f9ae54df7e1e,Puerto Rico Convention Center District Authority,other,2006A,2006,469900000.0,USD,2036-12-15,T2,0.85,cusip=74525QAA3; issuer=Puerto Rico Convention Center District Authority
debt_puerto_rico_ports_authority_other_2003_74528faa7,ENT_AGENCY_efcec09764306ade,Puerto Rico Ports Authority,other,2003A,2003,220000000.0,USD,2028-07-01,T2,0.85,cusip=74528FAA7; issuer=Puerto Rico Ports Authority
debt_puerto_rico_public_finance_corporation_other_2012_74527eaa1,ENT_ORG_b14376987d82d5ee,Puerto Rico Public Finance Corporation,other,2012A,2012,1255000000.0,USD,2031-02-01,T2,0.85,cusip=74527EAA1; issuer=Puerto Rico Public Finance Corporation
debt_puerto_rico_municipal_finance_agency_other_2015_74514maa8,ENT_AGENCY_e73c9879d715653a,Puerto Rico Municipal Finance Agency,other,2015A,2015,155000000.0,USD,2025-08-01,T2,0.85,cusip=74514MAA8; issuer=Puerto Rico Municipal Finance Agency
