alias_id,entity_id,alias,normalized_alias,source_id,evidence_tier,confidence,notes
ENT_ALIAS_6bc8e703eb778289,ENT_AGENCY_125b538f289a4708,Government of Puerto Rico,GOVERNMENT OF PUERTO RICO,pr_public_money_entities,T1,0.95,
ENT_ALIAS_cdfb8b4712faf85b,ENT_AGENCY_125b538f289a4708,ELA,ELA,pr_public_money_entities,T1,0.95,
ENT_ALIAS_f1001e8d096f9c57,ENT_AGENCY_125b538f289a4708,Estado Libre Asociado de Puerto Rico,ESTADO LIBRE ASOCIADO DE PUERTO RICO,pr_public_money_entities,T1,0.95,
ENT_ALIAS_23efe77a1a3994d5,ENT_AGENCY_3d2fd8a05e1703b2,FOMB,FOMB,pr_public_money_entities,T1,0.95,
ENT_ALIAS_fc10379bf1323c44,ENT_AGENCY_3d2fd8a05e1703b2,Oversight Board,OVERSIGHT BOARD,pr_public_money_entities,T1,0.95,
ENT_ALIAS_55e2a27186faeeaf,ENT_AGENCY_3d2fd8a05e1703b2,La Junta,LA JUNTA,pr_public_money_entities,T1,0.95,
ENT_ALIAS_a87d41e03fcfe872,ENT_AGENCY_3d2fd8a05e1703b2,FOMBPR,FOMBPR,pr_public_money_entities,T1,0.95,
ENT_ALIAS_ed3c0fd79b8c2899,ENT_AGENCY_1c1ee3c0f0c85d23,AAFAF,AAFAF,pr_public_money_entities,T1,0.95,
ENT_ALIAS_30e79b3e2b2a29f5,ENT_AGENCY_1c1ee3c0f0c85d23,AFAF,AFAF,pr_public_money_entities,T1,0.95,
ENT_ALIAS_9cee77fef5999b69,ENT_AGENCY_8d511bc1aaa048d4,P3 Authority,P3 AUTHORITY,pr_public_money_entities,T1,0.95,
ENT_ALIAS_89a655198dd93d9d,ENT_AGENCY_8d511bc1aaa048d4,AAPP,AAPP,pr_public_money_entities,T1,0.95,
ENT_ALIAS_5d346894ac624ad9,ENT_AGENCY_8d511bc1aaa048d4,Autoridad de Alianzas Publico-Privadas,AUTORIDAD DE ALIANZAS PUBLICO PRIVADAS,pr_public_money_entities,T1,0.95,
ENT_ALIAS_34d42dcf0da6abf2,ENT_AGENCY_6c1d858c1babe390,PREPA,PREPA,pr_public_money_entities,T1,0.95,
ENT_ALIAS_6dd75978cea14e44,ENT_AGENCY_6c1d858c1babe390,AEE,AEE,pr_public_money_entities,T1,0.95,
ENT_ALIAS_430019feba25d90c,ENT_AGENCY_6c1d858c1babe390,Autoridad de Energia Electrica,AUTORIDAD DE ENERGIA ELECTRICA,pr_public_money_entities,T1,0.95,
ENT_ALIAS_a0508d37fa67c3f0,ENT_AGENCY_c5fb8a7f44e8ff18,PRASA,PRASA,pr_public_money_entities,T1,0.95,
ENT_ALIAS_26a9c6678f11e5db,ENT_AGENCY_c5fb8a7f44e8ff18,AAA,AAA,pr_public_money_entities,T1,0.95,
ENT_ALIAS_758aae31210634cb,ENT_AGENCY_c5fb8a7f44e8ff18,Autoridad de Acueductos y Alcantarillados,AUTORIDAD DE ACUEDUCTOS Y ALCANTARILLADOS,pr_public_money_entities,T1,0.95,
ENT_ALIAS_9adec2f7634bc989,ENT_AGENCY_b182f85acf46f69b,HTA,HTA,pr_public_money_entities,T1,0.95,
ENT_ALIAS_1b2c39adceb3a56d,ENT_AGENCY_b182f85acf46f69b,ACT,ACT,pr_public_money_entities,T1,0.95,
ENT_ALIAS_6623748864b5e104,ENT_AGENCY_b182f85acf46f69b,Autoridad de Carreteras y Transportacion,AUTORIDAD DE CARRETERAS Y TRANSPORTACION,pr_public_money_entities,T1,0.95,
ENT_ALIAS_bac1f2649357a57f,ENT_ORG_5204a3d8f84bbfcd,COFINA,COFINA,pr_public_money_entities,T1,0.95,
ENT_ALIAS_0f0102f06e37d7d5,ENT_ORG_5204a3d8f84bbfcd,Corporacion del Fondo de Interes Apremiante,CORPORACION DEL FONDO DE INTERES APREMIANTE,pr_public_money_entities,T1,0.95,
ENT_ALIAS_fc3220c4dbc4c5ad,ENT_AGENCY_d363e4ddf2ce6a5d,GDB,GDB,pr_public_money_entities,T1,0.95,
ENT_ALIAS_17962b8c031fbbcc,ENT_AGENCY_d363e4ddf2ce6a5d,BGF,BGF,pr_public_money_entities,T1,0.95,
ENT_ALIAS_4b6145234df8d053,ENT_AGENCY_d363e4ddf2ce6a5d,Banco Gubernamental de Fomento,BANCO GUBERNAMENTAL DE FOMENTO,pr_public_money_entities,T1,0.95,
ENT_ALIAS_183e5232552fad2b,ENT_AGENCY_d363e4ddf2ce6a5d,Puerto Rico Government Development Bank,PUERTO RICO GOVERNMENT DEVELOPMENT BANK,pr_public_money_entities,T1,0.95,
ENT_ALIAS_e1588718032ecd9e,ENT_AGENCY_67880db21dd281cd,DDEC,DDEC,pr_public_money_entities,T1,0.95,
ENT_ALIAS_8926056e6877b679,ENT_AGENCY_67880db21dd281cd,Departamento de Desarrollo Economico y Comercio,DEPARTAMENTO DE DESARROLLO ECONOMICO Y COMERCIO,pr_public_money_entities,T1,0.95,
ENT_ALIAS_43bbccefd8abd87b,ENT_AGENCY_42ffd9ad9ab45e6a,PBA,PBA,pr_public_money_entities,T1,0.95,
ENT_ALIAS_36d4e4b359d6d8b0,ENT_AGENCY_42ffd9ad9ab45e6a,AEP,AEP,pr_public_money_entities,T1,0.95,
ENT_ALIAS_8f2660ba83ddb271,ENT_AGENCY_42ffd9ad9ab45e6a,Autoridad de Edificios Publicos,AUTORIDAD DE EDIFICIOS PUBLICOS,pr_public_money_entities,T1,0.95,
ENT_ALIAS_c9c59498503a3210,ENT_ORG_299e165490469537,LUMA,LUMA,pr_public_money_entities,T1,0.95,
ENT_ALIAS_3ecebd8028b70369,ENT_ORG_0f8f1789b2c687ed,Genera,GENERA,pr_public_money_entities,T1,0.95,
ENT_ALIAS_764888156cba7ba9,ENT_ORG_0f8f1789b2c687ed,Genera Puerto Rico,GENERA PUERTO RICO,pr_public_money_entities,T1,0.95,
ENT_ALIAS_e33794b2007d1f15,ENT_ORG_3719113e87688e83,Metropistas,METROPISTAS,pr_public_money_entities,T1,0.95,
ENT_ALIAS_c6b6c5ceaf6ebde0,ENT_AGENCY_7cf79ff780fb8279,PRIFA,PRIFA,pr_public_money_entities,T1,0.95,
ENT_ALIAS_58dc453d73d4f714,ENT_AGENCY_7cf79ff780fb8279,AFI,AFI,pr_public_money_entities,T1,0.95,
ENT_ALIAS_ece9241e2f5f7496,ENT_AGENCY_7cf79ff780fb8279,Autoridad para el Financiamiento de la Infraestructura,AUTORIDAD PARA EL FINANCIAMIENTO DE LA INFRAESTRUCTURA,pr_public_money_entities,T1,0.95,
ENT_ALIAS_1ee1a806a15e182d,ENT_AGENCY_c6aa8887d7248228,PRHFA,PRHFA,pr_public_money_entities,T1,0.95,
ENT_ALIAS_936ba25326fae50e,ENT_AGENCY_c6aa8887d7248228,AFV,AFV,pr_public_money_entities,T1,0.95,
