edge_id,source_id,source_type,from_entity_id,from_entity_type,to_entity_id,to_entity_type,relationship_type,relationship_subtype,filing_year,jurisdiction,evidence_tier,confidence,notes
INF_701deb818914ba23,canonical_v1_lobbying_records,pr_cabilderos,ENT_ORG_36443c30dc526c13,organization,ENT_ORG_0f8f1789b2c687ed,organization,LOBBIES_FOR,PR_cabildero,2023,PR,T3,0.6,lobbyist=LGA Strategies; client=Genera PR
INF_c77f2482387b3750,canonical_v1_lobbying_records,pr_cabilderos,ENT_ORG_36443c30dc526c13,organization,ENT_ORG_30007ca84af23b8d,organization,LOBBIES_FOR,PR_cabildero,2023,PR,T3,0.6,lobbyist=LGA Strategies; client=Puerto Rico Energy LLC
INF_23faac23852500e8,canonical_v1_lobbying_records,pr_cabilderos,ENT_ORG_a034a2e43d67206d,organization,ENT_ORG_21371fab1b27e788,organization,LOBBIES_FOR,PR_cabildero,2023,PR,T3,0.6,lobbyist=The RCL Group; client=Arcadis Caribe
INF_60e0fe6521f9cdc4,canonical_v1_roles,registry,ENT_PERSON_ae8093f10cb9500b,person,ENT_AGENCY_3d2fd8a05e1703b2,government_agency,BOARD_MEMBER_OF,board,2016,PR,T2,0.85,Chair (former)
INF_8127ac68cd0de49a,canonical_v1_roles,registry,ENT_PERSON_fe6141b802c515fa,person,ENT_AGENCY_3d2fd8a05e1703b2,government_agency,BOARD_MEMBER_OF,board,2016,PR,T2,0.85,Member
INF_e718b6b269b74b45,canonical_v1_roles,registry,ENT_PERSON_8bda3b4b5c15b2ee,person,ENT_AGENCY_3d2fd8a05e1703b2,government_agency,BOARD_MEMBER_OF,board,2016,PR,T2,0.85,Member
INF_3d3b8f02e30cd3bf,canonical_v1_roles,registry,ENT_PERSON_a35cecb3df82d944,person,ENT_AGENCY_3d2fd8a05e1703b2,government_agency,BOARD_MEMBER_OF,board,2016,PR,T2,0.85,Member
INF_fed891764d89a14a,canonical_v1_roles,registry,ENT_PERSON_44d7c54317afb0bf,person,ENT_AGENCY_3d2fd8a05e1703b2,government_agency,BOARD_MEMBER_OF,board,2016,PR,T2,0.85,Member
INF_349ade6fdb7b6f88,canonical_v1_roles,registry,ENT_PERSON_d49c52440c3b0fcc,person,ENT_AGENCY_3d2fd8a05e1703b2,government_agency,BOARD_MEMBER_OF,board,2016,PR,T2,0.85,Member
INF_59652d7062b0c27f,canonical_v1_roles,registry,ENT_PERSON_d932762e92b2850d,person,ENT_AGENCY_3d2fd8a05e1703b2,government_agency,BOARD_MEMBER_OF,board,2016,PR,T2,0.85,Member
INF_954f3d3f3c6d25a3,entity_parent_map,registry,ENT_AGENCY_1c1ee3c0f0c85d23,government_agency,ENT_AGENCY_125b538f289a4708,government_agency,SUBSIDIARY_OF,INSTRUMENTALITY_OF,,PR,T2,0.9,AAFAF is a public corporation and instrumentality of the Commonwealth acting as fiscal agent and financial advisor.
INF_92924749fc2d2954,entity_parent_map,registry,ENT_AGENCY_8d511bc1aaa048d4,government_agency,ENT_AGENCY_125b538f289a4708,government_agency,SUBSIDIARY_OF,INSTRUMENTALITY_OF,,PR,T2,0.9,The P3 Authority is an instrumentality of the Commonwealth that structures public-private partnerships.
INF_9a8865837282f38b,entity_parent_map,registry,ENT_AGENCY_6c1d858c1babe390,government_agency,ENT_AGENCY_125b538f289a4708,government_agency,SUBSIDIARY_OF,INSTRUMENTALITY_OF,,PR,T2,0.9,PREPA is a public corporation and instrumentality of the Commonwealth.
INF_d623f55874b87f94,entity_parent_map,registry,ENT_AGENCY_c5fb8a7f44e8ff18,government_agency,ENT_AGENCY_125b538f289a4708,government_agency,SUBSIDIARY_OF,INSTRUMENTALITY_OF,,PR,T2,0.9,PRASA is a public corporation and instrumentality of the Commonwealth.
INF_693d2925c44196b8,entity_parent_map,registry,ENT_AGENCY_b182f85acf46f69b,government_agency,ENT_AGENCY_125b538f289a4708,government_agency,SUBSIDIARY_OF,INSTRUMENTALITY_OF,,PR,T2,0.9,HTA is a public corporation and instrumentality of the Commonwealth.
INF_c6513a25d4791081,entity_parent_map,registry,ENT_ORG_5204a3d8f84bbfcd,organization,ENT_AGENCY_125b538f289a4708,government_agency,SUBSIDIARY_OF,INSTRUMENTALITY_OF,,PR,T2,0.9,COFINA is a government-owned corporation and instrumentality of the Commonwealth.
INF_779ca8378f170caf,entity_parent_map,registry,ENT_AGENCY_d363e4ddf2ce6a5d,government_agency,ENT_AGENCY_125b538f289a4708,government_agency,SUBSIDIARY_OF,INSTRUMENTALITY_OF,,PR,T2,0.9,GDB is a public corporation and instrumentality of the Commonwealth.
INF_cb7ad439e0f411f8,entity_parent_map,registry,ENT_AGENCY_67880db21dd281cd,government_agency,ENT_AGENCY_125b538f289a4708,government_agency,SUBSIDIARY_OF,INSTRUMENTALITY_OF,,PR,T2,0.9,DDEC is an executive department and instrumentality of the Commonwealth.
INF_eeeac5a845c9b4c4,entity_parent_map,registry,ENT_AGENCY_42ffd9ad9ab45e6a,government_agency,ENT_AGENCY_125b538f289a4708,government_agency,SUBSIDIARY_OF,INSTRUMENTALITY_OF,,PR,T2,0.9,PBA is a public corporation and instrumentality of the Commonwealth.
INF_ee305ab1a04affbb,entity_parent_map,registry,ENT_AGENCY_7cf79ff780fb8279,government_agency,ENT_AGENCY_125b538f289a4708,government_agency,SUBSIDIARY_OF,INSTRUMENTALITY_OF,,PR,T2,0.9,PRIFA is a public corporation and instrumentality of the Commonwealth.
INF_a99d373d47937f14,entity_parent_map,registry,ENT_AGENCY_c6aa8887d7248228,government_agency,ENT_AGENCY_125b538f289a4708,government_agency,SUBSIDIARY_OF,INSTRUMENTALITY_OF,,PR,T2,0.9,PRHFA is a public corporation and instrumentality of the Commonwealth.
INF_78d79920610cdf50,entity_parent_map,registry,ENT_AGENCY_5f99300da364ea64,government_agency,ENT_AGENCY_125b538f289a4708,government_agency,SUBSIDIARY_OF,INSTRUMENTALITY_OF,,PR,T2,0.9,PRIDCO is a public corporation and instrumentality of the Commonwealth.
INF_28146fc0adb1b389,entity_parent_map,registry,ENT_AGENCY_cc41784f4b40b6ff,government_agency,ENT_AGENCY_125b538f289a4708,government_agency,SUBSIDIARY_OF,INSTRUMENTALITY_OF,,PR,T2,0.9,UPR is a public corporation and instrumentality of the Commonwealth.
INF_d0e105863951df2f,entity_parent_map,registry,ENT_AGENCY_2c16f9ae54df7e1e,government_agency,ENT_AGENCY_125b538f289a4708,government_agency,SUBSIDIARY_OF,INSTRUMENTALITY_OF,,PR,T2,0.9,CCDA is a public corporation and instrumentality of the Commonwealth.
INF_61fcec72c60bfbea,entity_parent_map,registry,ENT_AGENCY_efcec09764306ade,government_agency,ENT_AGENCY_125b538f289a4708,government_agency,SUBSIDIARY_OF,INSTRUMENTALITY_OF,,PR,T2,0.9,The Ports Authority is a public corporation and instrumentality of the Commonwealth.
INF_a77abe5746457149,entity_parent_map,registry,ENT_ORG_b14376987d82d5ee,organization,ENT_AGENCY_125b538f289a4708,government_agency,SUBSIDIARY_OF,INSTRUMENTALITY_OF,,PR,T2,0.9,PRPFC is a government-owned corporation and instrumentality of the Commonwealth.
INF_9ab6cd101558f7f0,entity_parent_map,registry,ENT_AGENCY_e73c9879d715653a,government_agency,ENT_AGENCY_125b538f289a4708,government_agency,SUBSIDIARY_OF,INSTRUMENTALITY_OF,,PR,T2,0.9,The Municipal Finance Agency is a public corporation and instrumentality of the Commonwealth.
INF_9d9d3270192202a6,entity_parent_map,registry,ENT_ORG_299e165490469537,organization,ENT_AGENCY_6c1d858c1babe390,government_agency,OWNS_OR_CONTROLS,P3_OPERATOR_OF,,PR,T2,0.85,LUMA Energy operates and controls the PREPA transmission and distribution system under a public-private partnership agreement.
INF_ad7f0c3a0d77067f,entity_parent_map,registry,ENT_ORG_0f8f1789b2c687ed,organization,ENT_AGENCY_6c1d858c1babe390,government_agency,OWNS_OR_CONTROLS,P3_OPERATOR_OF,,PR,T2,0.85,Genera PR operates and controls the legacy PREPA power-generation fleet under a public-private partnership agreement.
INF_c4495b407d2d8551,entity_parent_map,registry,ENT_ORG_3719113e87688e83,organization,ENT_AGENCY_b182f85acf46f69b,government_agency,OWNS_OR_CONTROLS,CONCESSION_OPERATOR_OF,,PR,T2,0.85,Autopistas Metropolitanas operates the PR-22 and PR-5 toll roads under a long-term concession agreement with the HTA.
