municipality_geoid,municipality_code,municipality_name,municipality_name_ascii,municipality_name_canonical,municipality_name_es,aliases
72001,72001,Adjuntas,Adjuntas,Adjuntas,Adjuntas,Adjuntas|ADJUNTAS|MUNICIPIO DE ADJUNTAS
72003,72003,Aguada,Aguada,Aguada,Aguada,Aguada|AGUADA|MUNICIPIO DE AGUADA
72005,72005,Aguadilla,Aguadilla,Aguadilla,Aguadilla,Aguadilla|AGUADILLA|MUNICIPIO DE AGUADILLA
72007,72007,Aguas Buenas,Aguas Buenas,Aguas Buenas,Aguas Buenas,Aguas Buenas|AGUAS BUENAS|MUNICIPIO DE AGUAS BUENAS
72009,72009,Aibonito,Aibonito,Aibonito,Aibonito,Aibonito|AIBONITO|MUNICIPIO DE AIBONITO
72011,72011,Anasco,Anasco,Anasco,Añasco,Anasco|ANASCO|Añasco|ANYASCO|MUNICIPIO DE ANASCO
72013,72013,Arecibo,Arecibo,Arecibo,Arecibo,Arecibo|ARECIBO|MUNICIPIO DE ARECIBO
72015,72015,Arroyo,Arroyo,Arroyo,Arroyo,Arroyo|ARROYO|MUNICIPIO DE ARROYO
72017,72017,Barceloneta,Barceloneta,Barceloneta,Barceloneta,Barceloneta|BARCELONETA|MUNICIPIO DE BARCELONETA
72019,72019,Barranquitas,Barranquitas,Barranquitas,Barranquitas,Barranquitas|BARRANQUITAS|MUNICIPIO DE BARRANQUITAS
72021,72021,Bayamon,Bayamon,Bayamon,Bayamón,Bayamon|BAYAMON|Bayamón|MUNICIPIO DE BAYAMON
72023,72023,Cabo Rojo,Cabo Rojo,Cabo Rojo,Cabo Rojo,Cabo Rojo|CABO ROJO|MUNICIPIO DE CABO ROJO
72025,72025,Caguas,Caguas,Caguas,Caguas,Caguas|CAGUAS|MUNICIPIO DE CAGUAS
72027,72027,Camuy,Camuy,Camuy,Camuy,Camuy|CAMUY|MUNICIPIO DE CAMUY
72029,72029,Canovanas,Canovanas,Canovanas,Canóvanas,Canovanas|CANOVANAS|Canóvanas|MUNICIPIO DE CANOVANAS
72031,72031,Carolina,Carolina,Carolina,Carolina,Carolina|CAROLINA|MUNICIPIO DE CAROLINA
72033,72033,Catano,Catano,Catano,Cataño,Catano|CATANO|Cataño|MUNICIPIO DE CATANO
72035,72035,Cayey,Cayey,Cayey,Cayey,Cayey|CAYEY|MUNICIPIO DE CAYEY
72037,72037,Ceiba,Ceiba,Ceiba,Ceiba,Ceiba|CEIBA|MUNICIPIO DE CEIBA
72039,72039,Ciales,Ciales,Ciales,Ciales,Ciales|CIALES|MUNICIPIO DE CIALES
72041,72041,Cidra,Cidra,Cidra,Cidra,Cidra|CIDRA|MUNICIPIO DE CIDRA
72043,72043,Coamo,Coamo,Coamo,Coamo,Coamo|COAMO|MUNICIPIO DE COAMO
72045,72045,Comerio,Comerio,Comerio,Comerío,Comerio|COMERIO|Comerío|MUNICIPIO DE COMERIO
72047,72047,Corozal,Corozal,Corozal,Corozal,Corozal|COROZAL|MUNICIPIO DE COROZAL
72049,72049,Culebra,Culebra,Culebra,Culebra,Culebra|CULEBRA|MUNICIPIO DE CULEBRA|ISLA CULEBRA
72051,72051,Dorado,Dorado,Dorado,Dorado,Dorado|DORADO|MUNICIPIO DE DORADO
72053,72053,Fajardo,Fajardo,Fajardo,Fajardo,Fajardo|FAJARDO|MUNICIPIO DE FAJARDO
72054,72054,Florida,Florida,Florida,Florida,Florida|FLORIDA|MUNICIPIO DE FLORIDA
72055,72055,Guanica,Guanica,Guanica,Guánica,Guanica|GUANICA|Guánica|MUNICIPIO DE GUANICA
72057,72057,Guayama,Guayama,Guayama,Guayama,Guayama|GUAYAMA|MUNICIPIO DE GUAYAMA
72059,72059,Guayanilla,Guayanilla,Guayanilla,Guayanilla,Guayanilla|GUAYANILLA|MUNICIPIO DE GUAYANILLA
72061,72061,Guaynabo,Guaynabo,Guaynabo,Guaynabo,Guaynabo|GUAYNABO|MUNICIPIO DE GUAYNABO
72063,72063,Gurabo,Gurabo,Gurabo,Gurabo,Gurabo|GURABO|MUNICIPIO DE GURABO
72065,72065,Hatillo,Hatillo,Hatillo,Hatillo,Hatillo|HATILLO|MUNICIPIO DE HATILLO
72067,72067,Hormigueros,Hormigueros,Hormigueros,Hormigueros,Hormigueros|HORMIGUEROS|MUNICIPIO DE HORMIGUEROS
72069,72069,Humacao,Humacao,Humacao,Humacao,Humacao|HUMACAO|MUNICIPIO DE HUMACAO
72071,72071,Isabela,Isabela,Isabela,Isabela,Isabela|ISABELA|MUNICIPIO DE ISABELA
