municipality_code,canonical_name,canonical_name_es,county_fips,region,aliases
72001,Adjuntas,Adjuntas,72001,central,ADJUNTAS|MUNICIPIO DE ADJUNTAS
72003,Aguada,Aguada,72003,west,AGUADA|MUNICIPIO DE AGUADA
72005,Aguadilla,Aguadilla,72005,west,AGUADILLA|MUNICIPIO DE AGUADILLA
72007,Aguas Buenas,Aguas Buenas,72007,central,AGUAS BUENAS|MUNICIPIO DE AGUAS BUENAS
72009,Aibonito,Aibonito,72009,central,AIBONITO|MUNICIPIO DE AIBONITO
72011,Anasco,Añasco,72011,west,ANASCO|ANYASCO|MUNICIPIO DE ANASCO
72013,Arecibo,Arecibo,72013,north,ARECIBO|MUNICIPIO DE ARECIBO
72015,Arroyo,Arroyo,72015,south,ARROYO|MUNICIPIO DE ARROYO
72017,Barceloneta,Barceloneta,72017,north,BARCELONETA|MUNICIPIO DE BARCELONETA
72019,Barranquitas,Barranquitas,72019,central,BARRANQUITAS|MUNICIPIO DE BARRANQUITAS
72021,Bayamon,Bayamón,72021,metro,BAYAMON|MUNICIPIO DE BAYAMON
72023,Cabo Rojo,Cabo Rojo,72023,west,CABO ROJO|MUNICIPIO DE CABO ROJO
72025,Caguas,Caguas,72025,central,CAGUAS|MUNICIPIO DE CAGUAS
72027,Camuy,Camuy,72027,north,CAMUY|MUNICIPIO DE CAMUY
72029,Canovanas,Canóvanas,72029,metro,CANOVANAS|MUNICIPIO DE CANOVANAS
72031,Carolina,Carolina,72031,metro,CAROLINA|MUNICIPIO DE CAROLINA
72033,Catano,Cataño,72033,metro,CATANO|MUNICIPIO DE CATANO
72035,Cayey,Cayey,72035,central,CAYEY|MUNICIPIO DE CAYEY
72037,Ceiba,Ceiba,72037,east,CEIBA|MUNICIPIO DE CEIBA
72039,Ciales,Ciales,72039,central,CIALES|MUNICIPIO DE CIALES
72041,Cidra,Cidra,72041,central,CIDRA|MUNICIPIO DE CIDRA
72043,Coamo,Coamo,72043,south,COAMO|MUNICIPIO DE COAMO
72045,Comerio,Comerío,72045,central,COMERIO|MUNICIPIO DE COMERIO
72047,Corozal,Corozal,72047,central,COROZAL|MUNICIPIO DE COROZAL
72049,Culebra,Culebra,72049,east,CULEBRA|MUNICIPIO DE CULEBRA|ISLA CULEBRA
