priority,expected_input,classification,target_output_path,blocker_reason
1,data/staging/processed/pr_contracts_master.csv,automated_backfill_available,data/staging/processed/pr_contracts_master.csv,missing_output
2,data/staging/processed/pr_grants_master.csv,automated_backfill_available,data/staging/processed/pr_grants_master.csv,missing_output
3,data/staging/processed/pr_subawards_master.csv,automated_backfill_available,data/staging/processed/pr_subawards_master.csv,missing_output
4,data/staging/processed/pr_fema_pa_master.csv,automated_backfill_available,data/staging/processed/pr_fema_pa_master.csv,missing_output
5,data/staging/processed/pr_fema_hmgp_master.csv,automated_backfill_available,data/staging/processed/pr_fema_hmgp_master.csv,missing_output
6,data/staging/processed/pr_research_master.csv,automated_backfill_available,data/staging/processed/pr_research_master.csv,missing_output
7,data/staging/processed/pr_sba_loans_master.csv,automated_backfill_available,data/staging/processed/pr_sba_loans_master.csv,missing_output
8,data/staging/processed/pr_slfrf_master.csv,automated_backfill_available,data/staging/processed/pr_slfrf_master.csv,missing_output
9,data/staging/processed/pr_cdbg_dr_master.csv,automated_backfill_available,data/staging/processed/pr_cdbg_dr_master.csv,missing_output
10,data/staging/processed/pr_dot_master.csv,automated_backfill_available,data/staging/processed/pr_dot_master.csv,missing_output
11,data/staging/processed/pr_usda_master.csv,automated_backfill_available,data/staging/processed/pr_usda_master.csv,missing_output
12,data/staging/processed/pr_doe_master.csv,automated_backfill_available,data/staging/processed/pr_doe_master.csv,missing_output
13,data/staging/processed/pr_hud_master.csv,automated_backfill_available,data/staging/processed/pr_hud_master.csv,missing_output
14,data/staging/processed/pr_sbir_master.csv,automated_backfill_available,data/staging/processed/pr_sbir_master.csv,missing_output
15,data/staging/processed/pr_epa_master.csv,automated_backfill_available,data/staging/processed/pr_epa_master.csv,missing_output
16,data/staging/processed/pr_usace_civil_master.csv,automated_backfill_available,data/staging/processed/pr_usace_civil_master.csv,missing_output
17,data/staging/processed/pr_wioa_grants.csv,automated_backfill_available,data/staging/processed/pr_wioa_grants.csv,missing_output
18,data/staging/expansion/expansion_idv_indirect_pr.csv,automated_backfill_available,data/staging/expansion/expansion_idv_indirect_pr.csv,missing_output
19,data/staging/expansion/expansion_dod_upr_2001_2015.csv,automated_backfill_available,data/staging/expansion/expansion_dod_upr_2001_2015.csv,missing_output
20,data/staging/expansion/expansion_dod_upr_2016_2025.csv,automated_backfill_available,data/staging/expansion/expansion_dod_upr_2016_2025.csv,missing_output
21,data/staging/expansion/expansion_reconstruction_2017_2025.csv,automated_backfill_available,data/staging/expansion/expansion_reconstruction_2017_2025.csv,missing_output
