retry_rank,priority,expected_input,source_family,endpoint_classification,producer_classification,next_action
1,1,data/staging/processed/pr_contracts_master.csv,usaspending_federal_awards_backbone,,requires_manual_source,require_manual_file
2,2,data/staging/processed/pr_grants_master.csv,usaspending_federal_awards_backbone,endpoint_down,,retry_endpoint_after_backoff
3,3,data/staging/processed/pr_subawards_master.csv,fsrs_subawards,,patchable_now,patch_producer_script
4,4,data/staging/processed/pr_fema_pa_master.csv,fema_pa_hmgp,endpoint_down,,retry_endpoint_after_backoff
5,5,data/staging/processed/pr_fema_hmgp_master.csv,fema_pa_hmgp,endpoint_down,,retry_endpoint_after_backoff
6,6,data/staging/processed/pr_research_master.csv,federal_research,endpoint_down,,retry_endpoint_after_backoff
7,7,data/staging/processed/pr_sba_loans_master.csv,sba_loans,,requires_manual_source,require_manual_file
8,9,data/staging/processed/pr_cdbg_dr_master.csv,hud_cdbg,endpoint_down,,retry_endpoint_after_backoff
9,14,data/staging/processed/pr_sbir_master.csv,federal_sectoral_sbir,,requires_manual_source,require_manual_file
10,16,data/staging/processed/pr_usace_civil_master.csv,federal_sectoral_usace,,patchable_now,patch_producer_script
11,18,data/staging/expansion/expansion_idv_indirect_pr.csv,usaspending_federal_awards_backbone,endpoint_down,,retry_endpoint_after_backoff
12,19,data/staging/expansion/expansion_dod_upr_2001_2015.csv,usaspending_federal_awards_backbone,endpoint_down,,retry_endpoint_after_backoff
13,20,data/staging/expansion/expansion_dod_upr_2016_2025.csv,usaspending_federal_awards_backbone,endpoint_down,,retry_endpoint_after_backoff
14,21,data/staging/expansion/expansion_reconstruction_2017_2025.csv,usaspending_federal_awards_backbone,endpoint_down,,retry_endpoint_after_backoff
