retry_rank,priority,expected_input,source_family,next_action,reason
1,1,data/staging/processed/pr_contracts_master.csv,usaspending_federal_awards_backbone,manual_source_delivery,file_not_delivered
2,1,data/staging/processed/pr_doe_master.csv,federal_sectoral_doe,physical_validated_source_delivery,file_not_delivered
3,2,data/staging/processed/pr_grants_master.csv,usaspending_federal_awards_backbone,manual_source_delivery,file_not_delivered
4,2,data/staging/processed/pr_dot_master.csv,federal_sectoral_dot,physical_validated_source_delivery,file_not_delivered
5,3,data/staging/processed/pr_subawards_master.csv,fsrs_subawards,manual_source_delivery,file_not_delivered
6,3,data/staging/processed/pr_epa_master.csv,federal_sectoral_epa,physical_validated_source_delivery,file_not_delivered
7,4,data/staging/processed/pr_fema_pa_master.csv,fema_pa_hmgp,manual_source_delivery,file_not_delivered
8,4,data/staging/processed/pr_hud_master.csv,hud_cdbg,physical_validated_source_delivery,file_not_delivered
9,5,data/staging/processed/pr_fema_hmgp_master.csv,fema_pa_hmgp,manual_source_delivery,file_not_delivered
10,5,data/staging/processed/pr_slfrf_master.csv,slfrf,physical_validated_source_delivery,file_not_delivered
11,6,data/staging/processed/pr_research_master.csv,federal_research,manual_source_delivery,file_not_delivered
12,6,data/staging/processed/pr_usda_master.csv,federal_sectoral_usda,physical_validated_source_delivery,file_not_delivered
13,7,data/staging/processed/pr_sba_loans_master.csv,sba_loans,manual_source_delivery,file_not_delivered
14,7,data/staging/processed/pr_wioa_grants.csv,federal_sectoral_wioa,physical_validated_source_delivery,file_not_delivered
15,9,data/staging/processed/pr_cdbg_dr_master.csv,hud_cdbg,manual_source_delivery,file_not_delivered
16,14,data/staging/processed/pr_sbir_master.csv,federal_sectoral_sbir,manual_source_delivery,file_not_delivered
17,16,data/staging/processed/pr_usace_civil_master.csv,federal_sectoral_usace,manual_source_delivery,file_not_delivered
18,18,data/staging/expansion/expansion_idv_indirect_pr.csv,usaspending_federal_awards_backbone,manual_source_delivery,file_not_delivered
19,19,data/staging/expansion/expansion_dod_upr_2001_2015.csv,usaspending_federal_awards_backbone,manual_source_delivery,file_not_delivered
20,20,data/staging/expansion/expansion_dod_upr_2016_2025.csv,usaspending_federal_awards_backbone,manual_source_delivery,file_not_delivered
21,21,data/staging/expansion/expansion_reconstruction_2017_2025.csv,usaspending_federal_awards_backbone,manual_source_delivery,file_not_delivered
