source_entity,target,total_obligation,contract_count,fy_min,fy_max,edge_type
Caribbean Data Services Inc,Department of Agriculture,454545017.24,41,2001,2025,award
Caribbean Data Services Inc,Department of Defense,337729027.09,37,2001,2025,award
Caribbean Data Services Inc,Department of Energy,379350319.31,26,2010,2025,award
Caribbean Data Services Inc,Department of Health and Human Services,563063966.84,34,2000,2025,award
Caribbean Data Services Inc,Department of Housing and Urban Development,606068825.47,28,2001,2025,award
Caribbean Data Services Inc,Department of Transportation,338223813.73,25,2001,2025,award
Caribbean Data Services Inc,Federal Emergency Management Agency,808307725.87,48,2000,2025,award
Caribbean Data Services Inc,Small Business Administration,408106899.85,38,2000,2025,award
Centro Medico Del Turabo Inc,Department of Agriculture,277836662.65,24,2000,2025,award
Centro Medico Del Turabo Inc,Department of Defense,453721838.94,34,2002,2025,award
Centro Medico Del Turabo Inc,Department of Energy,551217992.91,28,2000,2025,award
Centro Medico Del Turabo Inc,Department of Health and Human Services,485300329.51,31,2003,2025,award
Centro Medico Del Turabo Inc,Department of Housing and Urban Development,278726201.06,25,2002,2025,award
Centro Medico Del Turabo Inc,Department of Transportation,292617487.59,25,2000,2025,award
Centro Medico Del Turabo Inc,Federal Emergency Management Agency,685771668.94,51,2002,2025,award
Centro Medico Del Turabo Inc,Small Business Administration,331402462.51,27,2002,2024,award
Corporacion Del Fondo Del Seguro Del Estado,Department of Agriculture,313077400.48,29,2003,2025,award
Corporacion Del Fondo Del Seguro Del Estado,Department of Defense,170579123.77,33,2001,2025,award
Corporacion Del Fondo Del Seguro Del Estado,Department of Energy,442520289.13,33,2000,2025,award
Corporacion Del Fondo Del Seguro Del Estado,Department of Health and Human Services,438328672.26,30,2001,2025,award
Corporacion Del Fondo Del Seguro Del Estado,Department of Housing and Urban Development,538672093.19,42,2003,2025,award
Corporacion Del Fondo Del Seguro Del Estado,Department of Transportation,365598145.27,29,2002,2025,award
Corporacion Del Fondo Del Seguro Del Estado,Federal Emergency Management Agency,686375361.81,48,2000,2025,award
Corporacion Del Fondo Del Seguro Del Estado,Small Business Administration,308832254.29,21,2001,2025,award
Crowley Maritime Corp,Department of Agriculture,124828862.81,23,2004,2024,award
Crowley Maritime Corp,Department of Defense,303095778.25,28,2001,2025,award
Crowley Maritime Corp,Department of Energy,644289869.94,31,2002,2025,award
Crowley Maritime Corp,Department of Health and Human Services,660599989.88,35,2001,2025,award
Crowley Maritime Corp,Department of Housing and Urban Development,355657791.56,31,2003,2025,award
Crowley Maritime Corp,Department of Transportation,693006209.47,32,2001,2025,award
Crowley Maritime Corp,Federal Emergency Management Agency,693658478.59,43,2000,2025,award
Crowley Maritime Corp,Small Business Administration,510991220.62,27,2000,2025,award
First Bancorp Puerto Rico,Department of Agriculture,255282638.91,29,2000,2025,award
First Bancorp Puerto Rico,Department of Defense,501382932.78,28,2001,2025,award
First Bancorp Puerto Rico,Department of Energy,198375122.36,29,2002,2025,award
First Bancorp Puerto Rico,Department of Health and Human Services,539334395.94,14,2002,2024,award
First Bancorp Puerto Rico,Department of Housing and Urban Development,405722931.81,21,2003,2025,award
First Bancorp Puerto Rico,Department of Transportation,464418475.78,32,2008,2025,award
First Bancorp Puerto Rico,Federal Emergency Management Agency,920377329.74,46,2002,2025,award
First Bancorp Puerto Rico,Small Business Administration,329513617.39,24,2002,2025,award
Hewlett Packard Puerto Rico LLC,Department of Agriculture,361466820.4,36,2001,2025,award
Hewlett Packard Puerto Rico LLC,Department of Defense,348090603.37,31,2002,2025,award
Hewlett Packard Puerto Rico LLC,Department of Energy,316162399.34,30,2008,2025,award
Hewlett Packard Puerto Rico LLC,Department of Health and Human Services,198104396.37,27,2008,2025,award
Hewlett Packard Puerto Rico LLC,Department of Housing and Urban Development,183343965.83,28,2003,2025,award
Hewlett Packard Puerto Rico LLC,Department of Transportation,429161536.43,24,2002,2025,award
Hewlett Packard Puerto Rico LLC,Federal Emergency Management Agency,596162028.65,41,2000,2025,award
Hewlett Packard Puerto Rico LLC,Small Business Administration,823743382.43,43,2000,2025,award
Hospital Damas Inc,Department of Agriculture,492036524.22,24,2000,2024,award
Hospital Damas Inc,Department of Defense,501226513.57,31,2002,2025,award
Hospital Damas Inc,Department of Energy,216190403.34,24,2011,2024,award
Hospital Damas Inc,Department of Health and Human Services,393046995.87,31,2000,2025,award
Hospital Damas Inc,Department of Housing and Urban Development,493041427.8,29,2006,2025,award
Hospital Damas Inc,Department of Transportation,527278491.86,26,2005,2025,award
Hospital Damas Inc,Federal Emergency Management Agency,1258039016.0,58,2000,2025,award
Hospital Damas Inc,Small Business Administration,673424377.59,29,2007,2025,award
Interamerican University of Puerto Rico Inc,Department of Agriculture,382020033.66,27,2003,2025,award
Interamerican University of Puerto Rico Inc,Department of Defense,376322497.15,32,2000,2025,award
Interamerican University of Puerto Rico Inc,Department of Energy,525812773.29,32,2002,2025,award
Interamerican University of Puerto Rico Inc,Department of Health and Human Services,330740254.01,23,2000,2025,award
Interamerican University of Puerto Rico Inc,Department of Housing and Urban Development,250108264.71,20,2002,2025,award
Interamerican University of Puerto Rico Inc,Department of Transportation,204140336.04,30,2000,2025,award
Interamerican University of Puerto Rico Inc,Federal Emergency Management Agency,983847756.19,44,2001,2025,award
Interamerican University of Puerto Rico Inc,Small Business Administration,436925201.44,31,2000,2025,award
Microsoft Puerto Rico Inc,Department of Agriculture,407787216.57,35,2000,2025,award
Microsoft Puerto Rico Inc,Department of Defense,196929285.41,28,2003,2025,award
Microsoft Puerto Rico Inc,Department of Energy,282083261.57,24,2000,2025,award
Microsoft Puerto Rico Inc,Department of Health and Human Services,420648788.86,23,2001,2025,award
Microsoft Puerto Rico Inc,Department of Housing and Urban Development,304109648.25,25,2004,2025,award
Microsoft Puerto Rico Inc,Department of Transportation,702827800.55,36,2000,2025,award
Microsoft Puerto Rico Inc,Federal Emergency Management Agency,844355406.44,63,2000,2025,award
Microsoft Puerto Rico Inc,Small Business Administration,385751507.19,23,2007,2025,award
Municipality of Bayamon,Department of Agriculture,192873008.6,23,2005,2024,award
Municipality of Bayamon,Department of Defense,204690381.37,19,2002,2025,award
Municipality of Bayamon,Department of Energy,497092082.54,28,2000,2025,award
Municipality of Bayamon,Department of Health and Human Services,137001672.12,21,2005,2025,award
Municipality of Bayamon,Department of Housing and Urban Development,301293203.61,22,2000,2025,award
Municipality of Bayamon,Department of Transportation,497642310.41,28,2001,2025,award
Municipality of Bayamon,Federal Emergency Management Agency,569239515.1,42,2000,2025,award
Municipality of Bayamon,Small Business Administration,473924205.49,34,2003,2025,award
Municipality of San Juan,Department of Agriculture,584548368.08,34,2000,2025,award
Municipality of San Juan,Department of Defense,515135648.26,31,2000,2025,award
Municipality of San Juan,Department of Energy,444140309.26,28,2000,2025,award
Municipality of San Juan,Department of Health and Human Services,642977004.3,36,2002,2025,award
Municipality of San Juan,Department of Housing and Urban Development,962603984.05,36,2004,2025,award
Municipality of San Juan,Department of Transportation,517159085.26,28,2001,2025,award
Municipality of San Juan,Federal Emergency Management Agency,506010038.14,70,2001,2025,award
Municipality of San Juan,Small Business Administration,280481454.01,19,2004,2025,award
Municipio de Ponce,Department of Agriculture,406460566.58,30,2010,2025,award
Municipio de Ponce,Department of Defense,529311622.4,39,2002,2025,award
Municipio de Ponce,Department of Energy,201433952.53,31,2000,2025,award
Municipio de Ponce,Department of Health and Human Services,636952984.19,33,2002,2025,award
Municipio de Ponce,Department of Housing and Urban Development,402994194.89,20,2003,2025,award
Municipio de Ponce,Department of Transportation,284186867.84,25,2005,2025,award
Municipio de Ponce,Federal Emergency Management Agency,826521499.13,49,2000,2025,award
Municipio de Ponce,Small Business Administration,445026178.95,28,2002,2025,award
Popular Inc,Department of Agriculture,360658903.83,29,2001,2025,award
Popular Inc,Department of Defense,242493016.84,27,2000,2025,award
Popular Inc,Department of Energy,531000381.39,31,2001,2025,award
Popular Inc,Department of Health and Human Services,424881152.39,24,2006,2025,award
Popular Inc,Department of Housing and Urban Development,349838137.39,23,2000,2025,award
Popular Inc,Department of Transportation,429262816.44,33,2000,2025,award
Popular Inc,Federal Emergency Management Agency,642958431.58,48,2000,2025,award
Popular Inc,Small Business Administration,408457792.97,31,2006,2025,award
Puerto Rico Aqueduct And Sewer Authority,Department of Agriculture,350589952.91,25,2008,2025,award
Puerto Rico Aqueduct And Sewer Authority,Department of Defense,516971832.73,29,2000,2025,award
Puerto Rico Aqueduct And Sewer Authority,Department of Energy,674662612.78,38,2001,2025,award
Puerto Rico Aqueduct And Sewer Authority,Department of Health and Human Services,418875720.87,46,2003,2025,award
Puerto Rico Aqueduct And Sewer Authority,Department of Housing and Urban Development,317786059.02,38,2001,2025,award
Puerto Rico Aqueduct And Sewer Authority,Department of Transportation,575373790.41,30,2000,2025,award
Puerto Rico Aqueduct And Sewer Authority,Federal Emergency Management Agency,730048100.95,58,2000,2025,award
Puerto Rico Aqueduct And Sewer Authority,Small Business Administration,187755719.68,24,2002,2024,award
Puerto Rico Electric Power Authority,Department of Agriculture,71384199.1,21,2004,2025,award
Puerto Rico Electric Power Authority,Department of Defense,28621466.41,18,2001,2025,award
Puerto Rico Electric Power Authority,Department of Energy,546012343.71,39,2000,2025,award
Puerto Rico Electric Power Authority,Department of Health and Human Services,449682914.44,22,2002,2025,award
Puerto Rico Electric Power Authority,Department of Housing and Urban Development,537179921.18,34,2004,2025,award
Puerto Rico Electric Power Authority,Department of Transportation,262722317.09,22,2006,2025,award
Puerto Rico Electric Power Authority,Federal Emergency Management Agency,469159456.33,48,2001,2025,award
Puerto Rico Electric Power Authority,Small Business Administration,548398973.73,35,2006,2025,award
Puerto Rico Industrial Development Company,Department of Agriculture,226350295.33,21,2010,2025,award
Puerto Rico Industrial Development Company,Department of Defense,620082910.88,34,2001,2025,award
Puerto Rico Industrial Development Company,Department of Energy,637764808.07,30,2002,2025,award
Puerto Rico Industrial Development Company,Department of Health and Human Services,132845695.55,22,2002,2025,award
Puerto Rico Industrial Development Company,Department of Housing and Urban Development,475194700.73,25,2001,2025,award
Puerto Rico Industrial Development Company,Department of Transportation,340869457.3,27,2001,2025,award
Puerto Rico Industrial Development Company,Federal Emergency Management Agency,575600749.32,46,2000,2025,award
Puerto Rico Industrial Development Company,Small Business Administration,76719872.76,12,2001,2024,award
Triple-S Management Corp,Department of Agriculture,479933743.64,37,2000,2025,award
Triple-S Management Corp,Department of Defense,430930238.34,31,2000,2025,award
Triple-S Management Corp,Department of Energy,108747810.45,23,2001,2025,award
Triple-S Management Corp,Department of Health and Human Services,155048488.91,17,2000,2025,award
Triple-S Management Corp,Department of Housing and Urban Development,349472921.99,35,2000,2025,award
Triple-S Management Corp,Department of Transportation,498994983.96,29,2003,2025,award
Triple-S Management Corp,Federal Emergency Management Agency,684085345.01,51,2000,2025,award
Triple-S Management Corp,Small Business Administration,538684266.87,28,2000,2025,award
University of Puerto Rico,Department of Agriculture,150262339.36,23,2001,2025,award
University of Puerto Rico,Department of Defense,443821894.63,29,2001,2025,award
University of Puerto Rico,Department of Energy,576490590.7,32,2002,2025,award
University of Puerto Rico,Department of Health and Human Services,316454550.79,23,2000,2025,award
University of Puerto Rico,Department of Housing and Urban Development,463603275.56,30,2004,2025,award
University of Puerto Rico,Department of Transportation,354684889.35,25,2001,2025,award
University of Puerto Rico,Federal Emergency Management Agency,757228097.39,48,2000,2025,award
University of Puerto Rico,Small Business Administration,376512045.0,30,2001,2025,award
