observation_id,fiscal_year,manifestation_id,publication_vintage,source_table,component,raw_value,amount_millions,direction,macro_revision_alignment,source_bytes_frozen,source_document_sha256,certification_state,notes
FACTOR_JP2025_FY2021_NETROW,2021,JP_IP2025,2025,ACCOUNT_I,NET_PROFIT_RECEIVED_REST_OF_WORLD,"(33,819.8)",-33819.8,NET,STALE_MACRO_REVISION_CONTEXT,false,,UNRESOLVED,"Observed in current publication but Account I carries older FY2021 GNP revision; do not use to certify revised FY2021 macro decomposition."
FACTOR_JP2025_FY2021_DIVIN,2021,JP_IP2025,2025,ACCOUNT_I,DIVIDENDS_RECEIVED_ABROAD,"873.2",873.2,INTO_PR,STALE_MACRO_REVISION_CONTEXT,false,,UNRESOLVED,"Observed component preserved whole-row."
FACTOR_JP2025_FY2021_PAID,2021,JP_IP2025,2025,ACCOUNT_I,PROFITS_DIVIDENDS_PAID_REST_OF_WORLD,"34,693.0",34693.0,OUT_OF_PR,STALE_MACRO_REVISION_CONTEXT,false,,UNRESOLVED,"Observed component preserved whole-row."
FACTOR_JP2025_FY2021_DIVOUT,2021,JP_IP2025,2025,ACCOUNT_I,DIVIDENDS_PAID_NONRESIDENTS,"518.6",518.6,OUT_OF_PR,STALE_MACRO_REVISION_CONTEXT,false,,UNRESOLVED,"Observed component preserved whole-row."
FACTOR_JP2025_FY2021_DIPROFIT,2021,JP_IP2025,2025,ACCOUNT_I,DIRECT_INVESTMENT_PROFITS,"34,174.4",34174.4,OUT_OF_PR,STALE_MACRO_REVISION_CONTEXT,false,,UNRESOLVED,"Observed component preserved whole-row."
FACTOR_JP2025_FY2022_NETROW,2022,JP_IP2025,2025,ACCOUNT_I,NET_PROFIT_RECEIVED_REST_OF_WORLD,"(36,210.6)",-36210.6,NET,ALIGNED,false,,PROVISIONAL,
FACTOR_JP2025_FY2022_DIVIN,2022,JP_IP2025,2025,ACCOUNT_I,DIVIDENDS_RECEIVED_ABROAD,"872.1",872.1,INTO_PR,ALIGNED,false,,PROVISIONAL,
FACTOR_JP2025_FY2022_PAID,2022,JP_IP2025,2025,ACCOUNT_I,PROFITS_DIVIDENDS_PAID_REST_OF_WORLD,"37,082.7",37082.7,OUT_OF_PR,ALIGNED,false,,PROVISIONAL,
FACTOR_JP2025_FY2022_DIVOUT,2022,JP_IP2025,2025,ACCOUNT_I,DIVIDENDS_PAID_NONRESIDENTS,"616.4",616.4,OUT_OF_PR,ALIGNED,false,,PROVISIONAL,
FACTOR_JP2025_FY2022_DIPROFIT,2022,JP_IP2025,2025,ACCOUNT_I,DIRECT_INVESTMENT_PROFITS,"36,466.2",36466.2,OUT_OF_PR,ALIGNED,false,,PROVISIONAL,
FACTOR_JP2025_FY2023_NETROW,2023,JP_IP2025,2025,ACCOUNT_I,NET_PROFIT_RECEIVED_REST_OF_WORLD,"(37,280.5)",-37280.5,NET,ALIGNED,false,,PROVISIONAL,
FACTOR_JP2025_FY2023_DIVIN,2023,JP_IP2025,2025,ACCOUNT_I,DIVIDENDS_RECEIVED_ABROAD,"1,031.8",1031.8,INTO_PR,ALIGNED,false,,PROVISIONAL,
FACTOR_JP2025_FY2023_PAID,2023,JP_IP2025,2025,ACCOUNT_I,PROFITS_DIVIDENDS_PAID_REST_OF_WORLD,"38,312.3",38312.3,OUT_OF_PR,ALIGNED,false,,PROVISIONAL,
FACTOR_JP2025_FY2023_DIVOUT,2023,JP_IP2025,2025,ACCOUNT_I,DIVIDENDS_PAID_NONRESIDENTS,"799.7",799.7,OUT_OF_PR,ALIGNED,false,,PROVISIONAL,
FACTOR_JP2025_FY2023_DIPROFIT,2023,JP_IP2025,2025,ACCOUNT_I,DIRECT_INVESTMENT_PROFITS,"37,512.6",37512.6,OUT_OF_PR,ALIGNED,false,,PROVISIONAL,
FACTOR_JP2025_FY2024_NETROW,2024,JP_IP2025,2025,ACCOUNT_I,NET_PROFIT_RECEIVED_REST_OF_WORLD,"(40,700.7)",-40700.7,NET,ALIGNED,false,,PROVISIONAL,
FACTOR_JP2025_FY2024_DIVIN,2024,JP_IP2025,2025,ACCOUNT_I,DIVIDENDS_RECEIVED_ABROAD,"1,082.4",1082.4,INTO_PR,ALIGNED,false,,PROVISIONAL,
FACTOR_JP2025_FY2024_PAID,2024,JP_IP2025,2025,ACCOUNT_I,PROFITS_DIVIDENDS_PAID_REST_OF_WORLD,"41,783.1",41783.1,OUT_OF_PR,ALIGNED,false,,PROVISIONAL,
FACTOR_JP2025_FY2024_DIVOUT,2024,JP_IP2025,2025,ACCOUNT_I,DIVIDENDS_PAID_NONRESIDENTS,"925.4",925.4,OUT_OF_PR,ALIGNED,false,,PROVISIONAL,
FACTOR_JP2025_FY2024_DIPROFIT,2024,JP_IP2025,2025,ACCOUNT_I,DIRECT_INVESTMENT_PROFITS,"40,857.7",40857.7,OUT_OF_PR,ALIGNED,false,,PROVISIONAL,
FACTOR_JP2025_FY2025_NETROW,2025,JP_IP2025,2025,ACCOUNT_I,NET_PROFIT_RECEIVED_REST_OF_WORLD,"(41,560.4)",-41560.4,NET,ALIGNED,false,,PROVISIONAL,
FACTOR_JP2025_FY2025_DIVIN,2025,JP_IP2025,2025,ACCOUNT_I,DIVIDENDS_RECEIVED_ABROAD,"1,100.2",1100.2,INTO_PR,ALIGNED,false,,PROVISIONAL,
FACTOR_JP2025_FY2025_PAID,2025,JP_IP2025,2025,ACCOUNT_I,PROFITS_DIVIDENDS_PAID_REST_OF_WORLD,"42,660.6",42660.6,OUT_OF_PR,ALIGNED,false,,PROVISIONAL,
FACTOR_JP2025_FY2025_DIVOUT,2025,JP_IP2025,2025,ACCOUNT_I,DIVIDENDS_PAID_NONRESIDENTS,"996.5",996.5,OUT_OF_PR,ALIGNED,false,,PROVISIONAL,
FACTOR_JP2025_FY2025_DIPROFIT,2025,JP_IP2025,2025,ACCOUNT_I,DIRECT_INVESTMENT_PROFITS,"41,664.1",41664.1,OUT_OF_PR,ALIGNED,false,,PROVISIONAL,
