observation_id,fiscal_year,manifestation_id,source_table,publication_vintage,gnp_raw,gdp_raw,reported_less_rest_world_raw,gnp_millions,gdp_millions,computed_gap_millions,reported_less_rest_of_world_millions,closure_state,candidate_state,contradiction_class,superseded_by_observation_id,certification_state
MACRO_JP2019_T9_FY2010,2010,JP_AE2019,TABLE_9_MAJOR_INDUSTRY,2019,"64,294.6","98,381.3","(34,086.7)",64294.6,98381.3,34086.7,34086.7,EXACT,CURRENT,,,PROVISIONAL
MACRO_JP2019_T9_FY2011,2011,JP_AE2019,TABLE_9_MAJOR_INDUSTRY,2019,"65,720.7","100,351.7","(34,631.0)",65720.7,100351.7,34631.0,34631.0,EXACT,CURRENT,,,PROVISIONAL
MACRO_JP2019_T9_FY2012,2012,JP_AE2019,TABLE_9_MAJOR_INDUSTRY,2019,"68,085.7","101,564.8","(33,479.1)",68085.7,101564.8,33479.1,33479.1,EXACT,CURRENT,,,PROVISIONAL
MACRO_JP2019_T9_FY2013,2013,JP_AE2019,TABLE_9_MAJOR_INDUSTRY,2019,"68,944.9","102,450.0","(33,505.2)",68944.9,102450.0,33505.1,33505.2,WITHIN_DECLARED_ROUNDING_BUDGET,CURRENT,,,PROVISIONAL
MACRO_JP2019_T9_FY2014,2014,JP_AE2019,TABLE_9_MAJOR_INDUSTRY,2019,"68,797.5","102,445.8","(33,648.3)",68797.5,102445.8,33648.3,33648.3,EXACT,CURRENT,,,PROVISIONAL
MACRO_JP2019_T9_FY2015,2015,JP_AE2019,TABLE_9_MAJOR_INDUSTRY,2019,"69,602.0","103,375.5","(33,773.5)",69602.0,103375.5,33773.5,33773.5,EXACT,CURRENT,,,PROVISIONAL
MACRO_JP2019_T9_FY2016,2016,JP_AE2019,TABLE_9_MAJOR_INDUSTRY,2019,"69,985.2","104,336.7","(34,351.5)",69985.2,104336.7,34351.5,34351.5,EXACT,SUPERSEDED,,MACRO_JP2025_T9_FY2016,SUPERSEDED
MACRO_JP2019_T9_FY2017,2017,JP_AE2019,TABLE_9_MAJOR_INDUSTRY,2019,"69,049.5","103,445.5","(34,396.0)",69049.5,103445.5,34396.0,34396.0,EXACT,SUPERSEDED,,MACRO_JP2025_T9_FY2017,SUPERSEDED
MACRO_JP2019_T9_FY2018,2018,JP_AE2019,TABLE_9_MAJOR_INDUSTRY,2019,"67,824.7","100,978.9","(33,154.3)",67824.7,100978.9,33154.2,33154.3,WITHIN_DECLARED_ROUNDING_BUDGET,SUPERSEDED,,MACRO_JP2025_T9_FY2018,SUPERSEDED
MACRO_JP2019_T9_FY2019,2019,JP_AE2019,TABLE_9_MAJOR_INDUSTRY,2019,"70,780.5","104,988.6","(34,208.1)",70780.5,104988.6,34208.1,34208.1,EXACT,SUPERSEDED,,MACRO_JP2025_T9_FY2019,SUPERSEDED
MACRO_JP2025_T9_FY2016,2016,JP_IP2025,TABLE_9_MAJOR_INDUSTRY,2025,"69,985.2","104,336.7","(34,351.5)",69985.2,104336.7,34351.5,34351.5,EXACT,CURRENT,,,PROVISIONAL
MACRO_JP2025_T9_FY2017,2017,JP_IP2025,TABLE_9_MAJOR_INDUSTRY,2025,"69,049.5","103,445.5","(34,396.0)",69049.5,103445.5,34396.0,34396.0,EXACT,CURRENT,,,PROVISIONAL
MACRO_JP2025_T9_FY2018,2018,JP_IP2025,TABLE_9_MAJOR_INDUSTRY,2025,"67,601.1","100,958.1","(33,357.0)",67601.1,100958.1,33357.0,33357.0,EXACT,CURRENT,,,PROVISIONAL
MACRO_JP2025_T9_FY2019,2019,JP_IP2025,TABLE_9_MAJOR_INDUSTRY,2025,"70,765.1","105,126.4","(34,361.3)",70765.1,105126.4,34361.3,34361.3,EXACT,CURRENT,,,PROVISIONAL
MACRO_JP2025_T9_FY2020,2020,JP_IP2025,TABLE_9_MAJOR_INDUSTRY,2025,"70,353.3","103,130.9","(32,777.6)",70353.3,103130.9,32777.6,32777.6,EXACT,CURRENT,,,PROVISIONAL
MACRO_JP2025_T9_FY2021,2021,JP_IP2025,TABLE_9_MAJOR_INDUSTRY,2025,"73,357.2","106,426.6","(33,069.3)",73357.2,106426.6,33069.4,33069.3,WITHIN_DECLARED_ROUNDING_BUDGET,CURRENT,,,PROVISIONAL
