source_record_id,record_type,zone_number_raw,approved_date_raw,grantee_raw,location_raw,zone_status_raw,port_of_entry_raw,activation_limit_raw,total_activated_acres_raw,site_number_raw,site_name_raw,site_status_raw,activated_acres_raw,sunset_expiration_lapse_date_raw,source_detail_id,source_url,retrieved_at_utc,geo_municipality_code,geo_municipality_name,geo_county_fips,geo_zip,geo_lat,geo_lon,geo_attribution_source,geo_attribution_confidence
53681671e7d380981607538621f8f81da41f783678bf91eb7c10065786eb9c49,zone,007,06/27/1960,Puerto Rico Industrial Development Company,Mayaguez,Active,"PR, San Juan",2000,263.6,,,,,,103,https://ofis.trade.gov/Zones/Details/103,2026-08-26T15:58:42+00:00,,,,,,,,unknown
b188f4a50b82f62f7c7720c8cfae4c68059ca053af0a1f20a1afd1dc3292522f,site,007,06/27/1960,Puerto Rico Industrial Development Company,Mayaguez,Active,"PR, San Juan",2000,263.6,002,Eastern Portion of Island,Active,37.5752,,103,https://ofis.trade.gov/Zones/Details/103,2026-08-26T15:58:42+00:00,,,,,,,,unknown
46f400a457e304fa2a2ee62f3ee1cfbc68827ef2abe3e512d0e391648539b210,site,007,06/27/1960,Puerto Rico Industrial Development Company,Mayaguez,Active,"PR, San Juan",2000,263.6,003,Northern Portion of Island,Active,4.2518,,103,https://ofis.trade.gov/Zones/Details/103,2026-08-26T15:58:42+00:00,,,,,,,,unknown
b88ae3d590e60474170bef9dd539dbdc2f909a7a1d6ce6539722443b20e234c9,site,007,06/27/1960,Puerto Rico Industrial Development Company,Mayaguez,Active,"PR, San Juan",2000,263.6,004,Southwestern/Eastern Portions of the Island,Active,20.422,,103,https://ofis.trade.gov/Zones/Details/103,2026-08-26T15:58:42+00:00,,,,,,,,unknown
576ef221797c7760e26421b0963b2c99f1e44cd0a76e58a5c0c3edaa4d1d8456,site,007,06/27/1960,Puerto Rico Industrial Development Company,Mayaguez,Active,"PR, San Juan",2000,263.6,005,Central/Southwestern Portions of the Island,Active,16.4188,,103,https://ofis.trade.gov/Zones/Details/103,2026-08-26T15:58:42+00:00,,,,,,,,unknown
721733971888d8b96789abb7a2174401a5fa4654a83f88fe130d3fb2a35e459e,site,007,06/27/1960,Puerto Rico Industrial Development Company,Mayaguez,Active,"PR, San Juan",2000,263.6,006,Amelia Industrial Park,Active,1.54,,103,https://ofis.trade.gov/Zones/Details/103,2026-08-26T15:58:42+00:00,,,,,,,,unknown
8bb2247d9329cc5305b2c7425721a9475f555beee3b3bd3798998d1d0aa0a072,site,007,06/27/1960,Puerto Rico Industrial Development Company,Mayaguez,Active,"PR, San Juan",2000,263.6,007,Distribution Warehouse Center,Active,8.96,,103,https://ofis.trade.gov/Zones/Details/103,2026-08-26T15:58:42+00:00,,,,,,,,unknown
c3835cd84db97e962d881a6525990938b8f097201a5bf6c705a21282b590674b,site,007,06/27/1960,Puerto Rico Industrial Development Company,Mayaguez,Active,"PR, San Juan",2000,263.6,008,Distribution Center for the Caribbean,Active,16.75,,103,https://ofis.trade.gov/Zones/Details/103,2026-08-26T15:58:42+00:00,,,,,,,,unknown
55beab37c7c3c5b0cd0f8026d590c2823499e2a6cc6982c7b012761468c8a35c,site,007,06/27/1960,Puerto Rico Industrial Development Company,Mayaguez,Active,"PR, San Juan",2000,263.6,009,Distribution Center,Active,2.94,,103,https://ofis.trade.gov/Zones/Details/103,2026-08-26T15:58:42+00:00,,,,,,,,unknown
705564671b5f81ff8b1f135692867860b06a115092813450a6ca66d4498ed7ff,site,007,06/27/1960,Puerto Rico Industrial Development Company,Mayaguez,Active,"PR, San Juan",2000,263.6,010,Industrial Park,Active,24.9726,,103,https://ofis.trade.gov/Zones/Details/103,2026-08-26T15:58:42+00:00,,,,,,,,unknown
c9ed144ac014ea4133d94c4cf3570c7e67d1d33afccab70906204d62c2e511d9,site,007,06/27/1960,Puerto Rico Industrial Development Company,Mayaguez,Active,"PR, San Juan",2000,263.6,012,Amelia Distribution Center,Active,1.58,02/28/2022 (E),103,https://ofis.trade.gov/Zones/Details/103,2026-08-26T15:58:42+00:00,,,,,,,,unknown
