source_record_id,license_type_raw,institution_name_raw,dba_raw,status_raw,address_raw,phone_raw,approval_date_raw,license_number_raw,nmls_raw,contact_name_raw,crd_raw,depository_raw,source_page,source_url,retrieved_at_utc,geo_municipality_code,geo_municipality_name,geo_county_fips,geo_zip,geo_lat,geo_lon,geo_attribution_source,geo_attribution_confidence
f8c3217fc67a592aaef7e16885202657e4359b0e216cdbfe954a46613d1dd184,ENTIDAD FINANCIERA INTERNACIONAL,ADVANTAGE INTERNATIONAL BANK CORP.,,ACTIVA,"AMERICAN INTERNATIONAL PLAZA 250 MUNOZ RIVERA AVE., STE. 710 SAN JUAN PR 00918",787-708-6446,01/01/2016,IFE-023,,"EDUARDO COLON, RAUL CAMALICHE",,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
18d8759203e1e57b08015ee45d5e0a5e285b34c8bd0e211282412bdb406d3f63,ENTIDAD FINANCIERA INTERNACIONAL,"ALLIANCE CAPITAL INTERNATIONAL BANK, INC.",,ACTIVA,252 PONCE DE LEON AVE. SUITE 400 SAN JUAN PR 00918,787-626-0156,03/20/2017,IFE-039,,Eva A. Hurtado,,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
a863e08eeb8eab77c581d28440515ff6fc713aafad2b9d0265688e67ef25dd75,ENTIDAD FINANCIERA INTERNACIONAL,AMERICAN INTERNATIONAL BANK LLC,,PENDIENTE DE LIQUIDACION,1225 Ponce de Leon Ave. VIG Tower Suite MZ-5 and 6 SAN JUAN PR 00907,787-523-8898,06/04/2018,IFE-050,,Eric Chen,,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
96c99b37262e7962cedf6b6acb921e517037655ef3ab7feca21b4f829a80f81e,ENTIDAD FINANCIERA INTERNACIONAL,"ARETI BANK INTERNATIONAL, INC.",,ACTIVA PENDIENTE DE RENOVAR,"METRO OFFICE PARK 3 CALLE 1, SUITE #506 GUAYNABO PR 00968",410-330-4084,05/19/2017,IFE-042,,DIMAS PALMAR,,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
9df0514beef83f283f1707bb5aad21659ce9b07bd101f38fba54d616b0170aa1,ENTIDAD FINANCIERA INTERNACIONAL,"ARIVAL BANK INTERNATIONAL, CORP.",,ACTIVA PENDIENTE DE RENOVAR,1250 PONCE DE LEON AVE SUITE 1005 SAN JUAN PR 00907,787-342-0043,02/22/2021,IFE-065,,"YEIDIE ORTIZ, CPA, CCBP",,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
facf741b5843b380a5e46eae94dfa009b982ab5d2d0255fbd7375a3349807121,ENTIDAD FINANCIERA INTERNACIONAL,"BANEX INTERNATIONAL BANK, INC.",,ACTIVA,654 MUÑOZ RIVERA SUITE 1720 SAN JUAN PR 00918,787-303-0858,02/09/2017,IFE-37,,"LUIS GASPARINI JR., SACHA RAMJIAWAN",,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
425b5ac9846eceaf3d3c7f822c0fe33ed468bcce554ff3465bceed4e39b5deba,ENTIDAD FINANCIERA INTERNACIONAL,BLUE OCEAN INTERNATIONAL BANK LLC,,ACTIVA,POPULAR CENTER SUITE 1020 208 AVE PONCE DE LEON SAN JUAN PR 00918,787-523-6378,10/17/2016,IFE-032,,Dainette Rivera Melendez,,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
ec0483a4d3f67285f9ee85f80c76d0994e00d1503969e9fd25c25562e66fc400,ENTIDAD FINANCIERA INTERNACIONAL,"CAI CAPITAL INTERNATIONAL, LLC",,ACTIVA,"273 Ave Ponce de Leon Plaza 273, Suite 912 SAN JUAN PR 00917",(787) 282-3673,02/05/2016,IFE-026,,ARTURO GONZALEZ,,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
550f2686ee311dc1b6682c3ef6858649f3b4dede4f92ea5dbaa2bbbc2f8234a7,ENTIDAD FINANCIERA INTERNACIONAL,"CARIBE INTERNATIONAL BANK, CORP.",,PENDIENTE DE LIQUIDACION,"Citi Tower Bldg., Suite 501 252 Ponce de León Ave. SAN JUAN PR 00918",787-632-7734,02/08/2016,IFE-027,,"FRANK R. REYES, LUIS E. CRUZ-ARTEAGA, MARIA NELLY ROSARIO",,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
936c32dfd5418f76fed253fa7af4f67b36d40a9ce864d172842ac7d75eb489f6,ENTIDAD FINANCIERA INTERNACIONAL,"CB INTERNATIONAL BANK, LLC",,ACTIVA PENDIENTE DE RENOVAR,270 MUÑOZ RIVERA ST 330 SAN JUAN PR 00918,787-395-7537,05/08/2018,IFE-049,,"Wu (Scott Wu) Shuaiyu, Marcos Torres",,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
71f6dedd2e5e1cd4026bf6bdaa002b28e092afb829212e0eb88c879b12b34c1c,ENTIDAD FINANCIERA INTERNACIONAL,"CELTA BANK INTERNATIONAL, LLC",,ACTIVA,270 MUÑOZ RIVERA AVENUE SUITE 510 SAN JUAN PR,678-667-6450,02/07/2025,IFE-075,,"JONATHAN COOPER, VERONICA M NOLLA-SCHELL, ESQ",,NO,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
78c3c8d64c4a4b7a3239259874fbabbf31a42dfd7710e20d93923ba1e42edbb8,ENTIDAD FINANCIERA INTERNACIONAL,"DIGITAL INTERNATIONAL BANK, INC.",,PENDIENTE DE LIQUIDACION,250 Ponce de Leon Ave. Suite 502 Citi Towers SAN JUAN PR 00918,787-379-4580,05/15/2017,IFE-040,,NEFTALI MUNET,,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
ad65980111204dde3158592fee851c582d02ce13c3a98439c6e50ad9f79cac61,ENTIDAD FINANCIERA INTERNACIONAL,"EASYBANK INTERNATIONAL, INC.",,ACTIVA,221 PONCE DE LEON AVE. SUITE 804 SAN JUAN PR 00917,939-337-8000,07/21/2015,IFE-019,,"CARLOS ROMERO MARQUEZ, SAMUEL E. RODRIGUEZ, EDUARDO VILLANUEVA",,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
08ef86ff653c1adeaa6a48fb626b4820fbe7ed6648c4c0a6c3142e0a3f7ff1b2,ENTIDAD FINANCIERA INTERNACIONAL,"ELITE INTERNATIONAL BANK, INC.",,ACTIVA,221 PONCE DE LEON AVE SUITE 1403 HATO REY PR 00917,787-523-9398,08/29/2013,IFE-05,,"LUIS VIZCARRONDO, Agustin Garcia, GABRIELA GARCIA",,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
10ea1c2b2f6b47a9fa262184b318ac2b06621567a1ca5aeb8f084ff3e393a777,ENTIDAD FINANCIERA INTERNACIONAL,"Euro Pacific Intl. Bank, Inc.",,PENDIENTE DE LIQUIDACION,"53 Palmeras St, Piso 10 Puerta de Tierra San Juan PR 00901",1-888-527-4041,02/09/2017,IFE-033,,Mark Anderson,,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
924ee7415ba9f2445dbefd0c99e3028f18abd4da64f02f09625218cc3fc2835e,ENTIDAD FINANCIERA INTERNACIONAL,"FAIRWINDS INTERNATIONAL BANK, LLC",,ACTIVA,"259 RECINTO SUR ST, SUITE 3A SAN JUAN PR 00901",787-723-4803,11/30/2016,IFE-035,,"Christian Hernandez, Sebastian Couturier",,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
de6651b6391ac078294fff5f00e17c0d7d1bb2c35b10a833eadc9722d9173d1c,ENTIDAD FINANCIERA INTERNACIONAL,"FIRST FINANCE INTERNATIONAL BANK, INC.",,PENDIENTE DE LIQUIDACION,252 PONCE DE LEON AVE. SUITE 1702 SAN JUAN PR 00918,787-559-4123,05/16/2017,IFE-041,,"Michel Poignant, Edwin Diaz, Mariangie Franco",,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
ef2f5d000ce638ea3a33c0393d6e5a99ac9e06a8d25244635f4fef5c9aa8005d,ENTIDAD FINANCIERA INTERNACIONAL,"FV BANK INTERNATIONAL, INC.",,ACTIVA,270 MUÑOZ RIVERA AVE. SUITE 1120 SAN JUAN PR 00918,551-230-2638,02/27/2020,IFE-063,,"MILES PASCHINI, FRANK J. SERRA",,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
8f5fe549ff0a30ec4f54670ddde86e0718bcd1fa52d45a6d65a75d7f521b2754,ENTIDAD FINANCIERA INTERNACIONAL,"GAMMA INTERNATIONAL BANK, INC.",,ACTIVA,OCHOA BLDG. SUITE 305 500 TANCA STREET SAN JUAN PR 00901,,03/18/2021,IFE-066,,"PELAYO TRONCOSO, DAVID GALARZA-SOSA, ESQ",,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
34faf076906fae30fd6c26153867e90df32b68623c2ba8ae06714f03fcbfc362,ENTIDAD FINANCIERA INTERNACIONAL,"INNOVATION TRUST BANK INTERNATIONAL HOLDINGS, INC.",,ACTIVA,"PILOTO 151, 1413 AVE. PONCE DE LEON 4TH FLOOR, SUITE 16 SAN JUAN PR 00907",939-357-2215,12/08/2021,IFE-069,,"Nathan Pierce, Jessica Colon, Jessybel A. Matos, OMAR FELIU",,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
f69314d94148648095a569acd1060b851f454e7fb1ebd3111d10231059a6ec81,ENTIDAD FINANCIERA INTERNACIONAL,"INNOVATION TRUST BANK INTERNATIONAL, INC.",,ACTIVA,"PILOTO 151, 1413 AVE. PONCE DE LEON 4TH FLOOR, SUITE 18 SAN JUAN PR 00907",939-357-2215,12/08/2021,IFE-068,,"Nathan Pierce, Mufaro A. Dube, Jose E. Catala, OMAR FELIU",,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
2c10ea7c1b20174ec971804188c8625b702863d8c61877722bb8f8fc33407e3e,ENTIDAD FINANCIERA INTERNACIONAL,INTERNATIONAL UNION BANK LLC,,PENDIENTE DE LIQUIDACION,"MCS PLAZA, SUITE 1410 255 PONCE DE LEON AVE. SAN JUAN PR 00917",787-300-3435,07/13/2017,IFE-047,,"Luis Guillermo Degwithz B, Ismary Freitez",,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
e01bf3e9b0b1a7f95c652f9744e790960dcfbaa28f8c6dcd1f70191908ae5eaf,ENTIDAD FINANCIERA INTERNACIONAL,"ITA INTERNATIONAL FINANCIAL SERVICES, CORP.",,ACTIVA,B7 TABONUCO STREET SUITE 1101 GUAYNABO PR 00968,305-603-1400,12/10/2018,IFE-055,,"IRIS LOPEZ, DANIEL SANTOS",,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
4610f95b9dede7c09e6f08b2fdbdf9eeb5b4e31469015392689bb838b2af89b6,ENTIDAD FINANCIERA INTERNACIONAL,"J.J. BEST BANK & CO. INTERNATIONAL, LLC",,ACTIVA PENDIENTE DE RENOVAR,8 CALLE SOL SUITE 2 SAN JUAN PR 00901,508-991-8000,12/10/2018,IFE-056,,,,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
e04ece75f2b929e3cc78c824c9887c8dbef0272db2452cf69d8f2c688edf3565,ENTIDAD FINANCIERA INTERNACIONAL,"JURISSA INTERNATIONAL BANK, INC.",,ACTIVA PENDIENTE DE RENOVAR,1311 PONCE DE LEON SUITE 502 SAN JUAN PR 00907,,11/14/2024,IFE-074,,"MARCOS RODRIGUEZ-EMA, ESQ",,NO,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
04f6ec946f679492b85256520b6fc710a68fcf2cc14f2f3cfe944effbea7759b,ENTIDAD FINANCIERA INTERNACIONAL,"KAPITAL BANK INTERNATIONAL, INC.",,ACTIVA,"CITI VIEW PLAZA I, 48 ROAD 165, SUITE 300 GUAYNABO PR 00968-8031",787-300-3463,12/13/2018,IFE-057,,"EDUARDO PIZARRO, Jamiel Santiago, JOHNNY ALEXIS FERNANDES",,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
256c13d347ab3c19704a2fa8a402273caf906df1bb4e062fbe992ed4c239ac86,ENTIDAD FINANCIERA INTERNACIONAL,"MEDICI BANK INTERNATIONAL, LLC",,ACTIVA PENDIENTE DE TRAMITE ADMINISTRATIVO,1250 PONCE DE LEON AVE SUITE 301 SAN JUAN PR 00907,787-563-9290,09/26/2016,IFE-030,,"JAVIER ORRIA, Arturo Tous, Edward James Boyle",,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
de653be99c12bead1ef27fa23df6a623476eb2599db4fb0cffd95edc6a0a6f9e,ENTIDAD FINANCIERA INTERNACIONAL,MERCANTILE BANK INTERNATIONAL CORP,,PENDIENTE DE LIQUIDACION,604 HOARE STREET SUITE 302 SAN JUAN PR 00907,917-645-2134,03/08/2019,IFE-060,,"Robert Collins, Nick Varelakis, Rene Carson, Yarot Lafontaine, Esq., Jose Sosa",,YES,1,https://concesionarios.ocif.pr.gov/es/License/Index?LicenseTypeFilter=ENTIDAD+FINANCIERA+INTERNACIONAL&Page=1&PageSize=100,2026-08-26T15:58:34+00:00,,,,,,,,unknown
