entity_id,canonical_name,sector,continuity_score,temporal_edges,dataset_count,latitude,longitude,geocode_status,export_status,manual_review_reason
prepa:aireko_services_instalation_inc,AIREKO,infrastructure_contractor,438.75,427,2,,,not_geocoded,export_ready,strict_validated
prepa:general_motriz_auto_parts,GENERAL MOTRIZ AUTO PARTS,infrastructure_contractor,378.75,367,2,,,not_geocoded,export_ready,strict_validated
prepa:aecom_environmental_consulting_1178_paysphere_circle_chicago_il,AECOM,infrastructure_contractor,313.75,302,2,,,not_geocoded,export_ready,strict_validated
prepa:puma_energy_caribe_llc_attn_victor_m_dominguez_re_sto_puma_energy_caribe_llc,PUMA ENERGY CARIBE,energy_fuel,102.25,89,3,,,not_geocoded,export_ready,strict_validated
prepa:alstom_caribe_inc_el_mundo_office_building_suite,ALSTOM,infrastructure_contractor,89.75,78,2,,,not_geocoded,export_ready,strict_validated
prepa:ernst_young_llp_1000_scotiabank_plaza_273,ERNST & YOUNG,legal,20.75,9,2,,,not_geocoded,export_ready,strict_validated
prepa:black_veatch_puerto_rico_psc_centro_internacional,BLACK & VEATCH,infrastructure_contractor,279.75,268,2,,,not_geocoded,export_ready_manual_promotion,manual_promote_known_utility_engineering_actor
prepa:ecoelectrica_lp_attn_carlos_reyes_plaza_scotiabank_suite,ECOELECTRICA,energy_fuel,64.75,53,2,,,not_geocoded,export_ready_manual_promotion,manual_promote_known_generation_energy_actor
prepa:rico_fiscal_agency_and_financial_advisory_authority_greenberg,AAFAF,legal,39.75,28,2,,,not_geocoded,export_ready_manual_promotion,manual_promote_public_fiscal_authority_context_only
prepa:proskauer_rose_llp,PROSKAUER ROSE,legal,22.25,12,1,,,not_geocoded,export_ready_manual_promotion,manual_promote_known_restructuring_counsel
prepa:freepoint_commodities_llc_attn_brandon_diket_freepo_int,FREEPOINT COMMODITIES,energy_fuel,17.25,7,1,,,not_geocoded,export_ready_manual_promotion,manual_promote_known_fuel_commodity_actor
prepa:vitol_inc_attn_gregory_g_garre_francisco_g,VITOL,energy_fuel,17.25,7,1,,,not_geocoded,export_ready_manual_promotion,manual_promote_known_fuel_commodity_actor
prepa:paul_hastings_llp,PAUL HASTINGS,legal,10.25,4,1,,,not_geocoded,export_ready_manual_promotion,manual_promote_known_restructuring_counsel
