id:ID,:LABEL,canonical_name,sector,continuity_score:float,temporal_edges:int,dataset_count:int,export_status,manual_review_reason,analytic_label
prepa:aireko_services_instalation_inc,PREPAExportReadyActor,AIREKO,infrastructure_contractor,438.75,427,2,export_ready,strict_validated,correlation_not_allegation
prepa:general_motriz_auto_parts,PREPAExportReadyActor,GENERAL MOTRIZ AUTO PARTS,infrastructure_contractor,378.75,367,2,export_ready,strict_validated,correlation_not_allegation
prepa:aecom_environmental_consulting_1178_paysphere_circle_chicago_il,PREPAExportReadyActor,AECOM,infrastructure_contractor,313.75,302,2,export_ready,strict_validated,correlation_not_allegation
prepa:puma_energy_caribe_llc_attn_victor_m_dominguez_re_sto_puma_energy_caribe_llc,PREPAExportReadyActor,PUMA ENERGY CARIBE,energy_fuel,102.25,89,3,export_ready,strict_validated,correlation_not_allegation
prepa:alstom_caribe_inc_el_mundo_office_building_suite,PREPAExportReadyActor,ALSTOM,infrastructure_contractor,89.75,78,2,export_ready,strict_validated,correlation_not_allegation
prepa:ernst_young_llp_1000_scotiabank_plaza_273,PREPAExportReadyActor,ERNST & YOUNG,legal,20.75,9,2,export_ready,strict_validated,correlation_not_allegation
prepa:black_veatch_puerto_rico_psc_centro_internacional,PREPAExportReadyActor,BLACK & VEATCH,infrastructure_contractor,279.75,268,2,export_ready_manual_promotion,manual_promote_known_utility_engineering_actor,correlation_not_allegation
prepa:ecoelectrica_lp_attn_carlos_reyes_plaza_scotiabank_suite,PREPAExportReadyActor,ECOELECTRICA,energy_fuel,64.75,53,2,export_ready_manual_promotion,manual_promote_known_generation_energy_actor,correlation_not_allegation
prepa:rico_fiscal_agency_and_financial_advisory_authority_greenberg,PREPAExportReadyActor,AAFAF,legal,39.75,28,2,export_ready_manual_promotion,manual_promote_public_fiscal_authority_context_only,correlation_not_allegation
prepa:proskauer_rose_llp,PREPAExportReadyActor,PROSKAUER ROSE,legal,22.25,12,1,export_ready_manual_promotion,manual_promote_known_restructuring_counsel,correlation_not_allegation
prepa:freepoint_commodities_llc_attn_brandon_diket_freepo_int,PREPAExportReadyActor,FREEPOINT COMMODITIES,energy_fuel,17.25,7,1,export_ready_manual_promotion,manual_promote_known_fuel_commodity_actor,correlation_not_allegation
prepa:vitol_inc_attn_gregory_g_garre_francisco_g,PREPAExportReadyActor,VITOL,energy_fuel,17.25,7,1,export_ready_manual_promotion,manual_promote_known_fuel_commodity_actor,correlation_not_allegation
prepa:paul_hastings_llp,PREPAExportReadyActor,PAUL HASTINGS,legal,10.25,4,1,export_ready_manual_promotion,manual_promote_known_restructuring_counsel,correlation_not_allegation
