entity_id,normalized_name,sector,temporal_edges,milestone_type_count,dataset_count,avg_confidence,continuity_score,milestone_types,datasets
prepa:aireko_services_instalation_inc,AIREKO SERVICES INSTALATION INC,infrastructure_contractor,427,4,2,0.75,438.75,"{""restructuring"": 103, ""reconstruction"": 118, ""privatization"": 134, ""generation"": 72}","{""pr_contracts_master.csv"": 157, ""pr_subawards_master.csv"": 270}"
prepa:best_general_services_inc_1608_bori_st_oficina,BEST GENERAL SERVICES INC 1608 BORI ST OFICINA,infrastructure_contractor,426,4,2,0.75,437.75,"{""restructuring"": 96, ""reconstruction"": 112, ""privatization"": 147, ""generation"": 71}","{""pr_contracts_master.csv"": 149, ""pr_subawards_master.csv"": 277}"
prepa:star_electrical_services_and_general_supplies_inc,STAR ELECTRICAL SERVICES AND GENERAL SUPPLIES INC,infrastructure_contractor,416,4,2,0.75,427.75,"{""restructuring"": 103, ""reconstruction"": 118, ""privatization"": 130, ""generation"": 65}","{""pr_contracts_master.csv"": 155, ""pr_subawards_master.csv"": 261}"
prepa:general_motriz_auto_parts,GENERAL MOTRIZ AUTO PARTS,infrastructure_contractor,367,4,2,0.75,378.75,"{""restructuring"": 59, ""reconstruction"": 64, ""privatization"": 109, ""generation"": 135}","{""pr_contracts_master.csv"": 180, ""pr_subawards_master.csv"": 187}"
prepa:aecom_environmental_consulting_1178_paysphere_circle_chicago_il,AECOM ENVIRONMENTAL CONSULTING 1178 PAYSPHERE CIRCLE CHICAGO IL,infrastructure_contractor,302,4,2,0.75,313.75,"{""restructuring"": 79, ""reconstruction"": 82, ""generation"": 65, ""privatization"": 76}","{""pr_contracts_master.csv"": 56, ""pr_subawards_master.csv"": 246}"
prepa:rm_general_contractor_inc_urb_alturas_penuelas_i,RM GENERAL CONTRACTOR INC URB ALTURAS PENUELAS I,infrastructure_contractor,283,4,2,0.75,294.75,"{""restructuring"": 43, ""reconstruction"": 43, ""privatization"": 94, ""generation"": 103}","{""pr_contracts_master.csv"": 179, ""pr_subawards_master.csv"": 104}"
prepa:general_machinery_contractors_210_carr_869_ste_1,GENERAL MACHINERY CONTRACTORS 210 CARR 869 STE 1,infrastructure_contractor,281,4,2,0.75,292.75,"{""restructuring"": 44, ""reconstruction"": 44, ""privatization"": 93, ""generation"": 100}","{""pr_contracts_master.csv"": 179, ""pr_subawards_master.csv"": 102}"
prepa:puerto_rico_electric_power_authority_attention_offi_ce_of_the_general_counsel,PUERTO RICO ELECTRIC POWER AUTHORITY ATTENTION OFFI CE OF THE GENERAL COUNSEL,energy_fuel,278,4,3,0.75,291.25,"{""restructuring"": 57, ""reconstruction"": 62, ""generation"": 82, ""privatization"": 77}","{""pr_contracts_master.csv"": 26, ""pr_subawards_master.csv"": 250, ""pr_prepa_contracts.csv"": 2}"
prepa:tec_general_contractors_corp,TEC GENERAL CONTRACTORS CORP,infrastructure_contractor,279,4,2,0.75,290.75,"{""restructuring"": 43, ""reconstruction"": 43, ""privatization"": 93, ""generation"": 100}","{""pr_contracts_master.csv"": 177, ""pr_subawards_master.csv"": 102}"
prepa:tec_general_construction,TEC GENERAL CONSTRUCTION,infrastructure_contractor,276,4,2,0.75,287.75,"{""restructuring"": 35, ""reconstruction"": 42, ""privatization"": 98, ""generation"": 101}","{""pr_contracts_master.csv"": 193, ""pr_subawards_master.csv"": 83}"
prepa:black_veatch_puerto_rico_psc_centro_internacional,BLACK VEATCH PUERTO RICO PSC CENTRO INTERNACIONAL,infrastructure_contractor,268,4,2,0.75,279.75,"{""generation"": 74, ""restructuring"": 57, ""reconstruction"": 56, ""privatization"": 81}","{""pr_contracts_master.csv"": 42, ""pr_subawards_master.csv"": 226}"
prepa:secretario_de_hacienda_44_administracion_de_servicio_s_generales_alm_central_suminist,SECRETARIO DE HACIENDA 44 ADMINISTRACION DE SERVICIO S GENERALES ALM CENTRAL SUMINIST,infrastructure_contractor,155,4,2,0.75,166.75,"{""restructuring"": 29, ""reconstruction"": 29, ""generation"": 70, ""privatization"": 27}","{""pr_contracts_master.csv"": 25, ""pr_subawards_master.csv"": 130}"
prepa:puma_energy_caribe_llc_attn_victor_m_dominguez_re_sto_puma_energy_caribe_llc,PUMA ENERGY CARIBE LLC ATTN VICTOR M DOMINGUEZ RE STO PUMA ENERGY CARIBE LLC,energy_fuel,89,4,3,0.75,102.25,"{""restructuring"": 33, ""reconstruction"": 25, ""privatization"": 15, ""generation"": 16}","{""pr_contracts_master.csv"": 44, ""pr_subawards_master.csv"": 42, ""pr_prepa_contracts.csv"": 3}"
