canonical_cluster,overridden,distinct_raw_forms,total_occurrences,source_count,sources,raw_forms
AUTOPISTAS METROPOLITANAS DE PUERTO RICO,no,2,22,1,ACT_2020,"AUTOPISTAS METROPOLITANAS DE PUERTO RICO, LLC|AUTOPISTAS METROPOLITANAS DE PUERTO RICO, LLC."
MUNICIPIO CAYEY,no,3,20,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF CAYEY|MUNICIPIO DE CAYEY|Municipio de Cayey
MUNICIPIO VEGA BAJA,no,3,18,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF VEGA BAJA|MUNICIPIO DE VEGA BAJA|Municipio de Vega Baja
CMA ARCHITECTS AND ENGINEERS,yes,2,17,1,ACT_2020,"CMA ARCHITECTS AND ENGINEERS LLC|CMA Architecs & Engineers, L.L.P."
MUNICIPIO SAN JUAN,no,2,17,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF SAN JUAN|Municipio de San Juan
MUNICIPIO CAMUY,no,3,16,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF CAMUY|MUNICIPIO DE CAMUY|Municipio de Camuy
MUNICIPIO JUANA DIAZ,no,2,16,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF JUANA DIAZ|Municipio de Juana Díaz
MUNICIPIO SABANA GRANDE,no,1,16,1,ACUDEN_2024,Municipio de Sabana Grande
LPC AND D,yes,6,15,1,ACT_2020,"L. P. C. & D, INC.|L. P. C. & D., INC|L. P. C. and D. Inc.|L.P.C. & D., INC.|LPC & D, INC|LPC Contractors, Inc."
MUNICIPIO FAJARDO,no,2,15,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF FAJARDO|Municipio de Fajardo
COOPERATIVA DE SERVICIOS INTEGRADOS A LA NINEZ COSIANI,yes,2,14,1,ACUDEN_2024,Cooperativa de Servicios Integrados a la Niñez (COSIANI)|Cooperativa de Servicios Integraod a la Niñez (COSIANI)
MUNICIPIO AGUADILLA,no,2,14,2,ACT_2020|ACUDEN_2024,MUNICIPIO DE AGUADILLA|Municipio de Aguadilla
MUNICIPIO COAMO,no,3,14,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF COAMO|MUNICIPIO DE COAMO|Municipio de Coamo
TRANSPORTE RODRIGUEZ ASFALTO,no,2,14,1,ACT_2020,"TRANSPORTE RODRÍGUEZ ASFALTO|Transporte Rodríguez Asfalto, Inc."
DESARROLLADORA JA,no,3,13,1,ACT_2020,"DESARROLLADORA J.A., INC.|Desarrolladora J.A.. Inc.|Desarrolladora JA, Inc.."
MUNICIPIO LAJAS,no,3,12,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF LAJAS|MUNICIPIO DE LAJAS|Municipio de Lajas
MUNICIPIO PATILLAS,no,3,12,2,ACT_2020|ACUDEN_2024,MUNICIPIO DE PATILLAS|Municipality of Patillas|Municipio de Patillas
SUPER ASPHALT PAVEMENT,yes,3,12,1,ACT_2020,"SUPER ASPHALT PAVEMENT, CORP.|SUPERASPHALT PAVEMENT CORP|Super Asphalt Pavement Corp."
BARRETT HALE AND ALAMO,yes,2,11,1,ACT_2020,"Barret Hale & Alamo, LLC|Barrett, Hale & Alamo, LLC"
DEL VALLE GROUP SP,no,2,11,1,ACT_2020,"DEL VALLE GROUP, S.P.|Del Valle Group SP"
MUNICIPIO GURABO,no,3,11,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF GURABO|MUNICIPIO DE GURABO|Municipio de Gurabo
MUNICIPIO YABUCOA,no,2,11,2,ACT_2020|ACUDEN_2024,MUNICIPIO DE YABUCOA|Municipio de Yabucoa
MUNICIPIO DORADO,no,3,10,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF DORADO|MUNICIPIO DE DORADO|Municipio de Dorado
FERROVIAL AGROMAN,no,3,9,1,ACT_2020,"FERROVIAL AGROMAN, LLC|FERROVIAL AGROMAN, S.A.|FERROVIAL- AGROMAN, SA"
INTEGRA DESIGN GROUP,yes,2,9,1,ACT_2020,"INTEGRA DESIGN GROUP ARCHITECTS & ENGINEERS, PSC|Integra Design Group, PSC"
JUAN O VIRELLA SANCHEZ,yes,2,9,1,ACT_2020,Ing. Juan O. Virella Sánchez|Juan O. Virella Sánchez
