avenue_id,canonical,binding_state,base_source_ids,proposed_overlay_source_ids,set_relation,certification_state
GFAV-001,commercial_banking,AUTHORITATIVE_ROUTE,fdic;fhlb,,INTERSECTION,OPEN
GFAV-002,capital_markets,AUTHORITATIVE_ROUTE,sec_edgar;sec_13f_nport,,INTERSECTION,OPEN
GFAV-003,economic_development_bank_financing,AUTHORITATIVE_ROUTE,bde_loans,,INTERSECTION,OPEN
GFAV-004,international_financial_entities,ABSENT,,ocif_guide_financial_classes,A_ONLY,OPEN
GFAV-005,insurance_companies,ABSENT,,ocs_insurer_registry,A_ONLY,OPEN
GFAV-006,real_estate_investment_trusts,CANDIDATE_NOT_IDENTITY,sec_edgar,,INTERSECTION,OPEN
GFAV-007,registered_investment_companies,CANDIDATE_NOT_IDENTITY,sec_edgar;sec_13f_nport,ocif_guide_financial_classes,INTERSECTION,OPEN
GFAV-008,resident_individual_investors,SUPPORTING_ROUTE,pr_act_60_decrees;ddec_incentives,,INTERSECTION,OPEN
GFAV-009,difficult_recruitment_professionals,SUPPORTING_ROUTE,pr_act_60_decrees;ddec_incentives,,INTERSECTION,OPEN
GFAV-010,export_goods_services,SUPPORTING_ROUTE,pr_act_60_decrees;ddec_incentives,,INTERSECTION,OPEN
GFAV-011,international_insurers_reinsurers,SUPPORTING_ROUTE,pr_act_60_decrees;ddec_incentives,ocs_insurer_registry;pr_act_60_decrees;ddec_incentives,INTERSECTION,OPEN
GFAV-012,public_private_partnerships,AUTHORITATIVE_ROUTE,p3_authority;act_transition_ppp,,INTERSECTION,OPEN
GFAV-013,private_equity_capital_investment_funds,SUPPORTING_ROUTE,ddec_incentives,ocif_guide_financial_classes;ddec_incentives,INTERSECTION,OPEN
GFAV-014,tourism_cruise_hotels,SUPPORTING_ROUTE,pr_act_60_decrees;ddec_incentives;tourism_room_tax,,INTERSECTION,OPEN
GFAV-015,manufacturing,SUPPORTING_ROUTE,pr_act_60_decrees;ddec_incentives,,INTERSECTION,OPEN
GFAV-016,infrastructure_renewable_energy,SUPPORTING_ROUTE,pr_act_60_decrees;ddec_incentives;eia_power_sector,,INTERSECTION,OPEN
GFAV-017,agriculture_agroindustrial,SUPPORTING_ROUTE,pr_act_60_decrees;ddec_incentives;usda_farm_subsidies,,INTERSECTION,OPEN
GFAV-018,film_creative,SUPPORTING_ROUTE,pr_act_60_decrees;ddec_incentives,,INTERSECTION,OPEN
GFAV-019,young_entrepreneurship,SUPPORTING_ROUTE,pr_act_60_decrees;ddec_incentives,,INTERSECTION,OPEN
GFAV-020,foreign_trade_zones,ABSENT,,ftz_board_pr,A_ONLY,OPEN
GFAV-021,qualified_opportunity_zone_priority_projects,AUTHORITATIVE_ROUTE,opportunity_zones;pr_act_60_decrees;ddec_incentives,,INTERSECTION,OPEN
GFAV-022,vieques_culebra_special_incentives,SUPPORTING_ROUTE,pr_act_60_decrees;ddec_incentives,,INTERSECTION,OPEN
GFAV-023,pymes_special_incentives,SUPPORTING_ROUTE,pr_act_60_decrees;ddec_incentives;bde_loans;sba_loans,,INTERSECTION,OPEN
GFAV-024,strategic_projects,SUPPORTING_ROUTE,pr_act_60_decrees;ddec_incentives,,INTERSECTION,OPEN
GFAV-025,pioneer_activities,SUPPORTING_ROUTE,pr_act_60_decrees;ddec_incentives,,INTERSECTION,OPEN
GFAV-026,scientific_research_development,SUPPORTING_ROUTE,pr_act_60_decrees;ddec_incentives;research_grants;sbir,,INTERSECTION,OPEN
GFAV-027,recycling,SUPPORTING_ROUTE,pr_act_60_decrees;ddec_incentives,,INTERSECTION,OPEN
GFAV-028,technology,SUPPORTING_ROUTE,pr_act_60_decrees;ddec_incentives;sbir,,INTERSECTION,OPEN
GFAV-029,hospital_facilities,SUPPORTING_ROUTE,pr_act_60_decrees;ddec_incentives;hhs_grants,,INTERSECTION,OPEN
GFAV-030,solid_waste_disposal,SUPPORTING_ROUTE,pr_act_60_decrees;ddec_incentives;epa_grants,,INTERSECTION,OPEN
