source_id,family,pipeline_status,guide_relation,guide_avenue_ids,binding_states
usaspending_prime,federal,partially_materialized,B_ONLY,,
usaspending_subawards,federal,fully_materialized,B_ONLY,,
fpds_report_builder,federal,not_materialized,B_ONLY,,
fsrs_subawards,federal,fully_materialized,B_ONLY,,
sam_entities,entity_resolution,fully_materialized,B_ONLY,,
highergov_supplemental,federal,partially_materialized,B_ONLY,,
eia_power_sector,federal,not_materialized,INTERSECTION,GFAV-016,SUPPORTING_ROUTE
fred_timeseries,federal,not_materialized,B_ONLY,,
fema_pa_openfema_v2,federal,fully_materialized,B_ONLY,,
fema_hmgp,federal,not_materialized,B_ONLY,,
cor3,territorial,not_materialized,B_ONLY,,
hud_cdbg_dr_public,federal,fully_materialized,B_ONLY,,
hud_drgr_authorized,manual_export,not_materialized,B_ONLY,,
hud_hcv_section8,federal,not_materialized,B_ONLY,,
prasa,infrastructure,not_materialized,B_ONLY,,
prasa_contracts_master,infrastructure,not_materialized,B_ONLY,,
prepa_luma_genera,infrastructure,not_materialized,B_ONLY,,
act_toll_revenue,infrastructure_revenue,not_materialized,B_ONLY,,
ports_airports_revenue,infrastructure_revenue,not_materialized,B_ONLY,,
transit_fare_revenue,infrastructure_revenue,not_materialized,B_ONLY,,
prasa_rate_revenue,infrastructure_revenue,not_materialized,B_ONLY,,
prepa_luma_rate_revenue,infrastructure_revenue,not_materialized,B_ONLY,,
emma_infra_revenue,infrastructure_revenue,not_materialized,B_ONLY,,
dtop_road_contracts,infrastructure,not_materialized,B_ONLY,,
ports_airports_contracts,infrastructure,not_materialized,B_ONLY,,
transit_contracts,infrastructure,not_materialized,B_ONLY,,
act_transition_contracts,manual_export,fully_materialized,B_ONLY,,
acuden_2024_transition,manual_export,fully_materialized,B_ONLY,,
dcaa_active_contractors,manual_export,not_materialized,B_ONLY,,
oficina_contralor,territorial,not_materialized,B_ONLY,,
compras_pr,territorial,not_materialized,B_ONLY,,
asg_emergency_purchases,territorial,not_materialized,B_ONLY,,
asg_suppliers,entity_resolution,not_materialized,B_ONLY,,
rdc_demandas_civiles,territorial,not_materialized,B_ONLY,,
aafaf,territorial,not_materialized,B_ONLY,,
hacienda,territorial,not_materialized,B_ONLY,,
cofina,territorial,not_materialized,B_ONLY,,
promesa_creditors,territorial,not_materialized,B_ONLY,,
pr_act_60_decrees,territorial,not_materialized,INTERSECTION,GFAV-008;GFAV-009;GFAV-010;GFAV-011;GFAV-014;GFAV-015;GFAV-016;GFAV-017;GFAV-018;GFAV-019;GFAV-021;GFAV-022;GFAV-023;GFAV-024;GFAV-025;GFAV-026;GFAV-027;GFAV-028;GFAV-029;GFAV-030,AUTHORITATIVE_ROUTE;SUPPORTING_ROUTE
p3_authority,territorial,not_materialized,INTERSECTION,GFAV-012,AUTHORITATIVE_ROUTE
act_transition_ppp,infrastructure,fully_materialized,INTERSECTION,GFAV-012,AUTHORITATIVE_ROUTE
prasa_completed_projects_ppp,infrastructure,not_materialized,B_ONLY,,
prasa_consulting_engineer_ppp,infrastructure,not_materialized,B_ONLY,,
pr_pensions,territorial,not_materialized,B_ONLY,,
rum_cover_over,territorial,not_materialized,B_ONLY,,
municipal_finance,municipal,not_materialized,B_ONLY,,
eqb_epa_icis,territorial,not_materialized,B_ONLY,,
emma_bonds,bonds,fully_materialized,B_ONLY,,
msrb_rtrs_trades,bonds,not_materialized,B_ONLY,,
lda,lobbying,fully_materialized,B_ONLY,,
pr_cabilderos,lobbying,not_materialized,B_ONLY,,
fec,political_finance,fully_materialized,B_ONLY,,
donaciones_pr,political_finance,not_materialized,B_ONLY,,
follow_the_money,political_finance,not_materialized,B_ONLY,,
fec_committees,political_finance,not_materialized,B_ONLY,,
contralor_electoral,political_finance,not_materialized,B_ONLY,,
ngo_integration_layer,nonprofit,not_materialized,B_ONLY,,
sba_loans,federal,not_materialized,INTERSECTION,GFAV-023,SUPPORTING_ROUTE
sba_ppp,federal,not_materialized,B_ONLY,,
sba_disaster_loans_pr,manual_export,not_materialized,B_ONLY,,
slfrf,federal,not_materialized,B_ONLY,,
sbir,federal,not_materialized,INTERSECTION,GFAV-026;GFAV-028,SUPPORTING_ROUTE
nih_reporter,federal,not_materialized,B_ONLY,,
usace_civil_works,federal,not_materialized,B_ONLY,,
usace_permits,federal,not_materialized,B_ONLY,,
epa_grants,federal,not_materialized,INTERSECTION,GFAV-030,SUPPORTING_ROUTE
dot_grants,federal,not_materialized,B_ONLY,,
usda_grants,federal,not_materialized,B_ONLY,,
doe_grants,federal,not_materialized,B_ONLY,,
doj_grants,federal,not_materialized,B_ONLY,,
ed_grants,federal,not_materialized,B_ONLY,,
hhs_grants,federal,not_materialized,INTERSECTION,GFAV-029,SUPPORTING_ROUTE
oia_grants,federal,not_materialized,B_ONLY,,
haf,federal,not_materialized,B_ONLY,,
exim_bank,federal,not_materialized,B_ONLY,,
congressional_earmarks,federal,not_materialized,B_ONLY,,
ofac_sdn,entity_resolution,not_materialized,B_ONLY,,
gleif_lei,entity_resolution,not_materialized,B_ONLY,,
sec_officers,entity_resolution,not_materialized,B_ONLY,,
pr_corporate_registry,manual_export,not_materialized,B_ONLY,,
medicaid_fmap,federal,not_materialized,B_ONLY,,
ssa,federal,not_materialized,B_ONLY,,
medicare_parts,federal,not_materialized,B_ONLY,,
medicare_advantage,federal,not_materialized,B_ONLY,,
chip,federal,not_materialized,B_ONLY,,
cms_open_payments,federal,not_materialized,B_ONLY,,
wic,federal,not_materialized,B_ONLY,,
wioa,federal,not_materialized,B_ONLY,,
snap_nap,federal,not_materialized,B_ONLY,,
va_benefits,federal,not_materialized,B_ONLY,,
fdic,federal,not_materialized,INTERSECTION,GFAV-001,AUTHORITATIVE_ROUTE
ncua,federal,not_materialized,B_ONLY,,
fhlb,federal,not_materialized,INTERSECTION,GFAV-001,AUTHORITATIVE_ROUTE
sec_edgar,federal,not_materialized,INTERSECTION,GFAV-002;GFAV-006;GFAV-007,AUTHORITATIVE_ROUTE;CANDIDATE_NOT_IDENTITY
sec_13f_nport,federal,not_materialized,INTERSECTION,GFAV-002;GFAV-007,AUTHORITATIVE_ROUTE;CANDIDATE_NOT_IDENTITY
fcc_usf,federal,not_materialized,B_ONLY,,
nfip_claims,federal,not_materialized,B_ONLY,,
lihtc,federal,not_materialized,B_ONLY,,
nmtc,federal,not_materialized,B_ONLY,,
nonprofits_irs990,federal,not_materialized,B_ONLY,,
