source_id,family,required,authentication,intake_mode,refresh_frequency,blocker_type,alignment_status,has_expected_outputs,has_validation_threshold,manual_drop_dir,producer_script,issue
usaspending_prime,federal,True,none,api,weekly,none,aligned,True,True,,scripts/build_unified_master.py,
usaspending_subawards,federal,True,none,scrape,weekly,none,aligned,True,True,,scripts/download_subawards.py,
fpds_report_builder,federal,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_grants.py,
fsrs_subawards,federal,True,none,scrape,weekly,none,aligned,True,True,,scripts/download_fsrs.py,
sam_entities,entity_resolution,True,api_key:SAM_API_KEY,api_key,monthly,auth_required,warning,True,True,,scripts/sam_enrichment.py,
highergov_supplemental,federal,False,api_key:HIGHERGOV_API_KEY,api_key,weekly,auth_required,warning,True,True,,scripts/fetch_highergov_api.py,
fema_pa_openfema_v2,federal,True,none,scrape,monthly,none,aligned,True,True,,scripts/download_openfema_pa_projects.py,
fema_hmgp,federal,False,none,scrape,monthly,none,aligned,True,True,,scripts/download_fema.py,
cor3,territorial,True,none,scrape,quarterly,manual_review_required,warning,True,True,,scripts/download_cor3.py,
hud_cdbg_dr_public,federal,True,none,scrape,quarterly,none,aligned,True,True,,scripts/download_cdbg_dr.py,
hud_drgr_authorized,manual_export,True,manual_export,manual_export,monthly,manual_required,warning,True,True,data/manual/hud_drgr/,scripts/ingest_hud_drgr_exports.py,
hud_hcv_section8,federal,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_hud_hcv.py,
prasa,infrastructure,True,none,static_file,yearly,manual_review_required,warning,True,True,,scripts/ingest_prasa.py,
prepa_luma_genera,infrastructure,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_prepa_contracts.py,
act_transition_contracts,manual_export,False,manual_export,manual_export,ad_hoc,manual_required,warning,True,True,data/manual/act_transition/,scripts/ingest_active_contractors.py,
acuden_2024_transition,manual_export,False,manual_export,manual_export,ad_hoc,manual_required,warning,True,True,data/manual/acuden_2024/,scripts/ingest_active_contractors.py,
dcaa_active_contractors,manual_export,False,manual_export,manual_export,ad_hoc,manual_required,warning,True,True,data/manual/dcaa_active_contractors/,scripts/download_active_contractors.py,
oficina_contralor,territorial,True,none,static_file,monthly,manual_review_required,warning,True,True,,scripts/ingest_contralor.py,
